year mon day hour min sec camp flt prof lat lon alt pressure theta co2 co2qcls co2oms co2ao2 ch4pfp ch4qcls sf6pfp strat h2oref n2oref o3ref co2mspo co2mqcls co2moms co2mao2 ch4mqcls
2009 1 9 20 54 15.5 1 2 0 47.92129 -111.6734 12026.96 187.1956 351.0397 383.75 383.6493 383.4329 382.2263 1762.26 1764.32 6.48 1 4.812857 313.566 287.5 0.099 0.101 0.317 1.524 -2.06
2009 1 9 21 19 29 1 2 2 50.55633 -113.4607 9751.672 267.6306 312.0702 386.53 386.0522 386.0922 387.4853 1817.65 1826.646 6.76 0 39.52222 322.356 54.55556 2.896 0.478 0.438 -0.955 -8.996
2009 1 9 21 36 34 1 2 2 52.14663 -114.0733 7892.095 353.0436 308.053 386.68 386.2114 386.1771 386.951 1822.38 1822.467 6.8 0 201.5714 322.426 52.14286 3.06 0.469 0.503 -0.271 -0.087
2009 1 9 21 42 25 1 2 2 52.70916 -114.0769 5258.931 514.165 298.644 388.47 388.02 387.922 389.1834 1856.7 1858.078 6.82 0 705.8 322.556 48.2 4.855 0.45 0.548 -0.713 -1.378
2009 1 9 21 55 52 1 2 0 53.31858 -113.6163 830.0153 916.9074 274.6869 395.11 NA 394.4167 NA 2029.39 NA 6.86 0 2410 323.196 32 11.507 NA 0.693 NA NA
2009 1 9 22 39 5 1 2 0 56.65322 -111.2124 411.506 967.8613 253.2195 397.65 397.46 397.2533 399.511 1971.14 1971.947 6.83 0 810.3333 323.026 24 14.115 0.19 0.397 -1.861 -0.807
2009 1 9 22 42 39 1 2 5 56.80419 -111.3612 2285.264 753.4558 277.9646 389.1 NA 389.0067 390.007 1865.15 1865.71 6.87 0 2266.667 322.286 46 5.571 NA 0.093 -0.907 -0.56
2009 1 9 22 47 8.5 1 2 5 57.17235 -111.4258 4238.552 578.1146 291.3999 389.18 388.9875 389.0475 NA 1864.77 1867.108 6.84 0 1495 322.636 45.75 5.659 0.192 0.132 NA -2.338
2009 1 9 22 51 35 1 2 5 57.56509 -111.4617 6168.956 438.678 293.9832 389.94 389.712 389.734 NA 1867.94 1877.388 6.89 0 293.8 322.736 44 6.426 0.228 0.206 NA -9.448
2009 1 9 23 5 14.5 1 2 6 58.83172 -111.5822 5770.927 461.5434 291.9332 388.8 NA 388.2317 389.2898 1860.4 NA 6.88 0 353.8333 322.356 51.66667 5.31 NA 0.568 -0.49 NA
2009 1 9 23 10 27 1 2 6 59.23078 -111.6221 3488.351 635.1663 281.6798 390.33 389.91 NA 389.4407 1877.33 1882.823 6.89 0 153 322.426 43 6.849 0.42 NA 0.889 -5.493
2009 1 9 23 24 34.5 1 2 0 60.01372 -111.9467 315.308 981.3146 244.0295 393.32 NA 393.185 395.175 1905.43 1911.245 6.84 0 338.5 322.916 NA 9.865 NA 0.135 -1.855 -5.815
2009 1 9 23 50 57 1 2 8 61.81534 -113.8909 5752.692 456.7581 289.1221 388.45 387.976 NA 389.4798 1856.93 1859.444 6.92 0 63.58 322.676 42.76 5.043 0.474 NA -1.03 -2.514
2009 1 9 23 55 46 1 2 8 62.08959 -114.188 3562.41 624.5191 278.6815 389.02 NA 388.39 388.271 1858.97 NA 6.86 0 130.6667 322.316 NA 5.622 NA 0.63 0.749 NA
2009 1 10 0 1 39.5 1 2 8 62.32676 -114.4248 832.593 910.3526 254.4768 390.62 389.99 NA 391.808 1883.3 1887.515 6.88 0 567.5 322.566 39.22 7.229 0.63 NA -1.188 -4.215
2009 1 10 0 5 48.5 1 2 0 62.47818 -114.4429 473.542 957.691 243.8066 392.4 NA 392.0025 NA 1899.8 NA 6.92 0 307.75 322.996 31.54 9.008 NA 0.397 NA NA
2009 1 10 0 53 58.5 1 2 11 61.76439 -121.6319 1825.096 794.5033 270.0296 390.94 390.47 390.4625 390.9558 1872.09 1876.287 6.85 0 1540 322.906 40.65 7.532 0.47 0.478 -0.016 -4.197
