year mon day hour min sec flt prof lat lon alt pressure theta co2 co2x co2qcls co2noaa co2ao2 strat h2oref n2oref co2mspo co2mqcls co2mx co2mnoaa co2mao2
2016 1 15 13 2 26.69 1 0 -53.28005 -70.64722 2991.313 701.335 302.5168 399.8622 399.4677 NA 399.4677 399.5425 0 1469.165 NaN 1.35 NA 0.394 0.394 0.32
2016 1 15 13 16 43.39 1 21 -54.69813 -69.8638 9600.435 283.8769 323.3456 400.7186 400.4857 NA 400.4857 400.8409 0 180.3911 NaN 2.21 NA 0.233 0.233 -0.122
2016 1 15 13 45 43.1 1 21 -58.14247 -70.10935 12448.66 178.4456 348.4329 399.4837 399.2062 NA 399.2062 399.5213 1 12.42685 NaN 0.97 NA 0.277 0.277 -0.038
2016 1 15 15 5 16.58 1 23 -67.455 -70.04737 12145.03 178.2561 370.8953 397.9103 397.7059 NA 397.7059 397.7712 1 3.785585 NaN -0.6 NA 0.204 0.204 0.139
2016 1 15 15 22 45.61 1 0 -68.65431 -70.4608 10533.5 226.4449 346.3818 398.3086 398.1698 NA 398.1698 NA 1 5.034866 NaN -0.21 NA 0.139 0.139 NA
2016 1 15 15 32 48.59 1 24 -68.58346 -70.48073 7996.304 331.9147 313.303 399.6331 399.4393 NA 399.4393 399.4121 1 26.22072 NaN 1.12 NA 0.194 0.194 0.221
2016 1 15 15 38 7.72 1 24 -68.88147 -70.14304 5630.129 468.4364 299.9754 399.4638 399.2777 NA 399.2777 399.4726 0 403.7517 NaN 0.95 NA 0.186 0.186 -0.009
2016 1 15 15 45 2.5 1 24 -68.68544 -70.47028 3765.216 605.7116 295.4761 399.185 398.8981 NA 398.8981 399.233 0 1689.328 NaN 0.67 NA 0.287 0.287 -0.048
2016 1 15 15 49 57.57 1 24 -68.71742 -70.09793 1551.786 806.8932 284.3693 398.8265 398.4999 NA 398.4999 399.0367 0 3951.367 NaN 0.31 NA 0.327 0.327 -0.21
2016 1 15 16 2 57.32 1 24 -68.6805 -71.09986 870.3007 880.2018 281.9727 398.7667 398.4093 NA 398.4093 399.0454 0 4189.931 NaN 0.25 NA 0.357 0.357 -0.279
2016 1 15 16 21 27.45 1 25 -67.71556 -72.70726 8098.472 329.7676 313.8161 399.8124 399.5796 NA 399.5796 399.8326 1 41.83475 315.5415 1.3 NA 0.233 0.233 -0.02
2016 1 15 16 27 38.71 1 26 -67.19262 -73.32725 5669.558 471.2726 306.8692 399.5833 399.2696 NA 399.2696 399.8215 0 310.5289 320.54 1.07 NA 0.314 0.314 -0.238
2016 1 15 16 31 13.49 1 26 -66.91611 -73.64294 4058.999 587.5009 299.5257 399.6929 399.3914 NA 399.3914 399.8201 0 127.1577 320.1954 1.18 NA 0.302 0.302 -0.127
2016 1 15 16 35 3.18 1 26 -66.63466 -73.95532 2340.219 736.4514 290.951 NA 398.3518 NA 398.3518 398.4601 0 5193.057 321.5801 NA NA NA NA NA
2016 1 15 16 38 8.99 1 26 -66.42081 -74.18818 957.9123 877.6802 280.5815 398.5377 398.1752 NA 398.1752 398.4297 0 5740.24 NaN 0.02 NA 0.362 0.362 0.108
2016 1 15 16 42 40.73 1 26 -66.13682 -74.4907 176.0881 969.3281 274.2863 398.3982 398.0114 NA 398.0114 398.4893 0 5911.501 323.8817 -0.12 NA 0.387 0.387 -0.091
2016 1 15 17 4 52.44 1 27 -64.35887 -76.22901 8363.627 329.6129 316.626 400.4796 400.2501 NA 400.2501 400.628 0 274.3418 323.407 1.96 NA 0.23 0.23 -0.148
2016 1 15 17 27 32.34 1 28 -62.57826 -77.74317 316.6559 962.7833 282.0938 398.9559 398.5325 NA 398.5325 398.6348 0 4937.208 323.4169 0.44 NA 0.423 0.423 0.321
2016 1 15 17 31 19.11 1 29 -62.3186 -77.94771 1507.938 832.3896 290.886 399.2248 398.8811 NA 398.8811 399.2413 0 1782.317 322.8371 0.71 NA 0.344 0.344 -0.017
2016 1 15 17 35 27.07 1 29 -62.00984 -78.18614 3409.867 656.1288 302.03 NA 399.4208 NA 399.4208 399.7006 0 260.1434 322.0564 NA NA NA NA NA
2016 1 15 17 39 46.78 1 29 -61.65219 -78.45594 5424.972 505.0844 310.4138 399.4041 399.1917 399.1917 399.1917 399.475 0 1148.145 323.2197 0.89 0.212 0.212 0.212 -0.071
2016 1 15 17 43 42.95 1 29 -61.28984 -78.72277 7241.504 393.2304 314.3732 400.3302 400.0214 400.2201 400.0214 400.271 0 296.8513 323.6116 1.81 0.11 0.309 0.309 0.059
2016 1 15 17 48 46.73 1 29 -60.77508 -79.09116 8451.815 329.6409 316.9105 399.8622 399.6085 399.7326 399.6085 NA 0 65.35225 319.6509 1.34 0.13 0.254 0.254 NA
2016 1 15 18 10 51.49 1 30 -59.00758 -80.26535 160.4421 989.7823 278.222 398.468 398.1655 398.4211 398.1655 398.5098 0 6003.54 322.6291 -0.05 0.047 0.303 0.303 -0.042
2016 1 15 18 39 37.45 1 0 -56.85871 -82.64727 8546.783 329.6009 318.6867 400.2605 399.9996 399.7845 399.9996 NA 0 193.4898 323.7066 1.74 0.476 0.261 0.261 NA
2016 1 15 19 1 42.44 1 32 -55.19836 -81.34804 164.6441 991.4253 277.8994 398.5974 398.2439 398.3065 398.2439 398.5395 0 7169.472 323.2593 0.08 0.291 0.353 0.353 0.058
2016 1 15 19 6 13.7 1 33 -54.91154 -81.07496 1775.312 813.3155 293.2426 399.5335 399.1333 NA 399.1333 399.4318 0 2343.926 323.1944 1.01 NA 0.4 0.4 0.102
2016 1 15 19 9 43.48 1 33 -54.66768 -80.84632 3393.047 664.6943 303.0322 399.9916 399.7183 399.7377 399.7183 399.8648 0 1295.961 322.5832 1.47 0.254 0.273 0.273 0.127
2016 1 15 19 14 17.71 1 33 -54.3229 -80.52859 5522.787 504.6866 313.028 400.151 399.857 399.9476 399.857 399.8094 0 810.967 323.3595 1.63 0.203 0.294 0.294 0.342
2016 1 15 19 17 48.46 1 33 -54.03565 -80.26871 7156.281 403.9842 316.2536 400.2804 399.9719 400.0614 399.9719 400.2279 0 261.5205 323.6184 1.76 0.219 0.308 0.308 0.053
2016 1 15 19 31 14.61 1 33 -53.3917 -78.17302 10249.45 256.6458 323.9837 NA 400.273 400.2582 400.273 400.6145 0 62.81073 323.0209 NA NA NA NA NA
2016 1 15 19 37 30.28 1 33 -53.24442 -76.89451 12442.29 180.5531 349.7983 398.4082 398.3648 NA 398.3648 398.8107 1 6.811138 309.5738 -0.11 NA 0.043 0.043 -0.402
2016 1 18 14 58 6.6 2 0 -53.39776 -70.51384 4902.894 545.6193 303.3456 400.1908 399.811 400.5993 399.811 400.9031 0 2369.93 323.8889 1.58 -0.409 0.38 0.38 -0.712
2016 1 18 15 13 45.15 2 35 -54.84867 -68.86716 9308.229 289.3512 318.8811 400.5592 400.222 400.4272 400.222 400.7828 0 89.82188 322.1538 1.95 0.132 0.337 0.337 -0.224
2016 1 18 15 48 32.77 2 35 -57.68523 -62.6413 12223.14 178.3615 361.0444 397.4123 397.1477 397.1608 397.1477 396.8933 1 3.708819 285.9846 -1.2 0.252 0.265 0.265 0.519
2016 1 18 16 13 29.32 2 0 -59.30731 -57.57703 5772.211 462.7343 301.7717 399.9916 399.6803 399.4888 399.6803 399.2969 0 138.94 320.9768 1.38 0.503 0.311 0.311 0.695
2016 1 18 16 51 26.86 2 0 -62.88553 -52.95432 11853.45 181.9903 370.8321 397.4422 397.2151 NA 397.2151 397.4574 1 3.582064 289.9714 -1.17 NA 0.227 0.227 -0.015
2016 1 18 16 56 46.35 2 38 -62.2704 -52.94041 9630.669 256.0979 327.4505 NA 398.7948 398.6331 398.7948 398.9302 1 32.62002 314.3888 NA NA NA NA NA
2016 1 18 17 9 28.97 2 38 -60.87668 -52.9975 3970.029 587.0991 288.2242 NA 399.0626 398.7136 399.0626 399.0723 0 754.2221 321.5086 NA NA NA NA NA
2016 1 18 17 12 24.25 2 38 -60.62433 -52.99698 2695.103 699.3681 283.3638 398.9759 398.7173 398.7514 398.7173 398.6957 0 1322.1 321.7435 0.36 0.225 0.259 0.259 0.28
2016 1 18 17 15 37.47 2 38 -60.36391 -53.00213 1296.839 839.6348 277.1925 398.4182 398.0267 398.1189 398.0267 398.1361 0 1547.919 322.5774 -0.19 0.299 0.392 0.392 0.282
2016 1 18 17 22 9.12 2 38 -59.88966 -53.05981 351.2406 947.725 272.2129 398.4879 398.2154 NA 398.2154 398.4388 0 4057.478 322.7394 -0.12 NA 0.273 0.273 0.049
2016 1 18 17 24 56.54 2 40 -60.00476 -53.09824 1377.291 830.823 278.0406 398.468 398.1261 NA 398.1261 398.3221 0 1362.288 NaN -0.14 NA 0.342 0.342 0.146
2016 1 18 17 35 9.02 2 40 -60.66368 -53.00002 583.5642 920.2862 272.9701 398.5775 398.1749 NA 398.1749 398.5166 0 3940.56 322.0951 -0.03 NA 0.403 0.403 0.061
2016 1 18 17 40 57.13 2 41 -61.04766 -53.00006 1147.14 855.5039 274.4568 398.4779 398.1025 398.0109 398.1025 398.6967 0 2570.117 322.4889 -0.13 0.467 0.375 0.375 -0.219
2016 1 18 17 46 56.11 2 42 -61.4278 -53.00009 331.5608 949.9846 271.5704 398.6074 398.2186 NA 398.2186 398.6171 0 3996.209 322.3281 -0.01 NA 0.389 0.389 -0.01
2016 1 18 17 53 25.07 2 43 -61.8616 -52.99829 1214.318 848.0717 275.1232 398.2987 397.9571 NA 397.9571 398.533 0 2575.553 322.862 -0.31 NA 0.342 0.342 -0.234
2016 1 18 18 12 18.11 2 44 -63.07526 -52.98155 448.6767 935.4575 271.6371 398.6373 398.3198 NA 398.3198 399.0442 0 3151.295 321.7212 0.02 NA 0.317 0.317 -0.407
2016 1 18 18 25 55.24 2 47 -62.34159 -54.05317 5220.427 492.7297 295.3683 399.0954 398.9153 398.8491 398.9153 NA 0 245.2719 322.1984 0.48 0.246 0.18 0.18 NA
2016 1 18 18 42 24.01 2 48 -61.38963 -55.95129 192.53 969.6731 272.6571 398.5277 398.2096 398.5897 398.2096 398.8394 0 3721.994 321.3525 -0.09 -0.062 0.318 0.318 -0.312
2016 1 18 19 6 2.95 2 49 -59.36796 -56.3079 1655.619 805.0768 280.2187 398.448 398.1999 NA 398.1999 398.5109 0 1229.863 321.5222 -0.17 NA 0.248 0.248 -0.063
2016 1 18 19 13 11.05 2 50 -58.88478 -56.69018 435.6871 941.3722 274.9642 398.3584 398.071 NA 398.071 398.3489 0 4187.735 321.8441 -0.26 NA 0.287 0.287 0.01
2016 1 18 19 18 40.04 2 51 -58.48998 -56.99411 2797.378 694.5402 288.3283 399.0954 398.6449 NA 398.6449 399.1294 0 1177.195 321.8584 0.48 NA 0.45 0.45 -0.034
