year mon day hour min sec camp flt prof lat lon alt pressure theta co2 co2noaa co2qcls co2ao2 ch4pfp ch4noaa ch4qcls sf6pfp strat h2oref n2oref o3ref co2mspo co2mqcls co2mao2 co2mnoaa ch4mqcls ch4mnoaa
2017 1 26 18 24 59.5 2 1 -1 27.87612 -120.5001 10445.6 262.7009 333.935 405.88 405.9006 NA 406.0762 1861.44 1861.995 NA 9.19 0 226.6641 322.9609 23.83259 4.85 NA -0.196 -0.021 NA -0.555
2017 1 26 19 48 42 2 1 -1 17.46718 -120.5006 10623.94 262.8365 338.9813 405.5 405.4089 405.5498 405.1433 1857.65 1856.919 1861.773 9.12 0 240.5248 323.3036 35.52209 4.45 -0.05 0.357 0.091 -4.123 0.731
2017 1 26 21 17 57 2 1 -1 5.869499 -120.5001 11287.78 239.6237 343.9867 405.06 405.0418 405.2314 405.0689 1835.78 1836.898 1833.252 9.13 0 201.8207 323.2798 20.787 3.92 -0.171 -0.009 0.018 2.528 -1.118
2017 1 26 21 49 1 2 1 2 1.796045 -120.5004 4744.827 576.6245 324.6691 404.19 404.1967 404.5748 404.7044 1838.02 1840.632 1841.484 9.1 0 375.4564 324.1558 39.70909 3.02 -0.385 -0.514 -0.007 -3.464 -2.612
2017 1 26 21 54 16.5 2 1 2 1.276369 -120.5002 1424.025 858.8887 305.2625 404.68 404.4743 NA 404.861 1828.29 1828.333 NA 9.13 0 3493.64 322.4409 23.21487 3.5 NA -0.181 0.206 NA -0.043
2017 1 26 21 58 22 2 1 2 0.9438557 -120.4993 181.9286 991.7814 296.1471 404.94 404.7717 405.127 404.5823 1815.19 1815.183 1816.245 9.03 0 22279.93 324.1976 7.730429 3.76 -0.187 0.358 0.168 -1.055 0.007
2017 1 26 22 14 30 2 1 3 2.183835 -120.457 6124.069 484.5446 329.52 404.8 404.725 404.8867 404.687 1837.17 1836.202 1836.081 9.13 0 771.9862 324.038 33.02708 3.61 -0.087 0.113 0.075 1.089 0.968
2017 1 26 22 25 3.5 2 1 3 3.219727 -120.4911 10288.57 276.7292 341.6592 404.08 403.9829 NA NA 1812.33 1812.513 NA 9.06 0 266.8527 322.0609 24.49419 2.87 NA NA 0.097 NA -0.183
2017 1 26 22 34 32.5 2 1 -1 4.306478 -120.5002 11288.9 239.6811 343.6846 404.34 404.3587 404.3039 404.9265 1815.18 1817.37 1820.321 9.13 0 135.9021 323.6083 17.2135 3.13 0.036 -0.586 -0.019 -5.141 -2.19
2017 1 26 22 46 16 2 1 4 5.702799 -120.5003 6864.869 441.1523 333.2623 404.59 404.48 404.7123 404.9499 1825.86 1825.068 1824.623 9.09 0 1259.502 323.3227 23.28008 3.36 -0.122 -0.36 0.11 1.237 0.792
2017 1 26 22 52 37 2 1 4 6.375768 -120.5006 2810.956 728.8133 312.3256 404.99 404.815 NA 404.8001 1830.42 1829.53 NA 9.05 0 13487.49 322.4609 9.785889 3.76 NA 0.19 0.175 NA 0.89
2017 1 26 22 59 22 2 1 4 6.973837 -120.5002 169.3 992.3871 299.2243 404.85 404.8133 405.1771 405.6414 1827.99 1828.296 1830.044 9.05 0 23811.74 324.7145 6.0995 3.61 -0.327 -0.791 0.037 -2.054 -0.306
2017 1 26 23 22 22 2 1 5 9.256298 -120.5002 8635.059 348.3159 335.9976 404.79 404.7571 NA 405.4151 1834.38 1832.875 NA 9.07 0 1072.897 322.6709 21.30453 3.55 NA -0.625 0.033 NA 1.505
2017 1 26 23 39 54.5 2 1 -1 11.49586 -120.5002 12209.8 207.6439 347.1444 405.66 405.452 405.4869 NA 1847.97 1849.078 1848.025 9.18 0 155.8358 322.1209 22.31011 4.42 0.173 NA 0.208 -0.055 -1.108
2017 1 26 23 55 4.5 2 1 6 13.33604 -120.5003 6056.35 488.5767 325.5475 404.05 403.943 NA 404.9763 1816.71 1816.876 NA 9.07 0 627.7675 322.7009 30.53608 2.81 NA -0.926 0.107 NA -0.166
2017 1 27 0 4 29 2 1 6 14.26617 -120.5006 599.3286 947.4829 297.7643 407.43 407.2483 NA 408.666 1892.88 1893.332 1897.357 9.34 0 20708.56 325.0063 25.79414 6.19 NA -1.236 0.182 -4.477 -0.452
2017 1 27 0 6 59.5 2 1 6 14.4508 -120.5003 193.6125 992.675 297.3425 407.51 407.29 NA 407.0476 1895.13 1894.489 NA 9.31 0 21431.44 322.4687 26.0535 6.27 NA 0.462 0.22 NA 0.641
2017 1 27 0 38 25.5 2 1 7 17.75985 -120.5001 12492.25 197.4965 347.8678 404.31 404.2627 404.1637 NA 1852.8 1853.435 NA 9.07 0 31.528 322.5687 75.75848 3.09 0.146 NA 0.047 NA -0.635
2017 1 27 0 59 27.5 2 1 8 20.3594 -120.5531 6271.058 474.4408 324.0308 405.15 404.936 405.2425 405.137 1845 1844.385 1838.994 9.11 0 799.7558 322.8956 42.31442 3.94 -0.093 0.013 0.214 6.006 0.615
2017 1 27 1 11 51 2 1 8 21.46776 -120.7177 181.3286 1000.851 290.5171 408.99 408.765 409.0289 409.0933 1922.19 1922.988 1920.676 9.33 0 11636.77 324.7579 38.84686 7.77 -0.039 -0.103 0.225 1.514 -0.798
2017 1 27 1 22 9 2 1 9 22.28293 -120.8417 4021.744 630.1267 314.7467 404.66 404.5871 NA 405.1027 1833.05 1832.346 NA 9.16 0 4239.169 322.4887 32.67811 3.44 NA -0.443 0.073 NA 0.704
2017 1 27 1 32 7 2 1 -1 23.32323 -121.0007 9600.874 300.7843 337.127 405.67 405.6011 405.5459 NA 1858.19 1857.45 1854.406 9.21 0 247.5191 323.1479 27.60691 4.44 0.124 NA 0.069 3.784 0.74
2017 1 27 1 47 55 2 1 10 24.96975 -121.2579 4452.278 596.6589 313.89 404.54 404.3138 404.7924 403.5156 1826.47 1825.417 1827.021 9.08 0 4700.554 322.2999 32.15667 3.3 -0.252 1.024 0.226 -0.551 1.053
