year mon day hour min sec camp flt prof lat lon alt pressure theta co2 co2noaa co2qcls co2ao2 ch4pfp ch4noaa ch4qcls sf6pfp strat h2oref n2oref o3ref co2mspo co2mqcls co2mao2 co2mnoaa ch4mqcls ch4mnoaa
2017 1 29 18 25 5 2 2 -1 37.31358 -123.7184 10133.71 275.2805 326.6819 406.12 406.135 NA 406.2197 1868.31 1867.536 NA 9.23 0 27.72857 322.0844 44.44957 4.85 NA -0.1 -0.015 NA 0.774
2017 1 29 18 52 43 2 2 2 38.61935 -127.5144 6706.338 445.2392 319.1469 406.08 405.9882 NA 406.3411 1869.28 1868.692 NA 9.22 0 1273.205 322.6344 47.52577 4.83 NA -0.261 0.092 NA 0.588
2017 1 29 19 12 41 2 2 3 39.39006 -130.2684 10056.3 274.9871 325.2457 405.88 405.5839 405.6059 NA 1859.08 1861.208 1859.961 9.21 0 171.15 322.3673 46.68905 4.61 0.274 NA 0.296 -0.881 -2.128
2017 1 29 19 46 43 2 2 4 40.51408 -134.7828 1479.411 861.2744 292.6556 407.53 407.3712 407.6886 407.7291 1895.17 1895.84 1900.861 9.24 0 10101.32 322.5038 44.47089 6.2 -0.159 -0.199 0.159 -5.691 -0.67
2017 1 29 19 51 53 2 2 5 40.63859 -135.3297 869.7 926.1943 288.9557 409.89 407.965 NA 407.8673 1909.39 1909.448 NA 9.36 0 12433.99 322.9244 40.63871 8.55 NA 2.023 1.925 NA -0.058
2017 1 29 20 2 3 2 2 5 40.90786 -136.561 6136.615 472.7315 313.6162 407.75 NA 406.9309 NA 1884.35 NA 1891.587 9.28 0 1764.963 323.5259 47.186 6.4 0.819 NA NA -7.237 NA
2017 1 29 20 23 35 2 2 -1 43.35859 -137.8563 10421.34 250.6378 319.9911 406.14 406.1427 NA 406.6124 1882.18 1884.355 NA 9.22 0 58.42148 322.4444 65.37604 4.79 NA -0.472 -0.003 NA -2.175
2017 1 29 20 39 7 2 2 6 45.29117 -138.6114 5876.631 483.2331 304.5431 408.55 408.4664 408.5197 408.3128 1914.04 1911.843 NA 9.23 0 258.9254 322.5444 48.76608 7.2 0.03 0.237 0.084 NA 2.197
2017 1 29 20 44 18 2 2 6 45.80324 -138.8202 2814.033 724.9556 290.3978 409.04 408.8438 409.0052 409.2698 1919.93 1918.529 1921.884 9.26 0 39.05 322.6548 54.78822 7.69 0.035 -0.23 0.196 -1.954 1.401
2017 1 29 20 49 57.5 2 2 6 46.29322 -139.0238 180.425 1013.444 277.66 411.02 410.3629 NA 410.1049 1936.84 1935.56 1938.08 9.29 0 5915.369 323.3119 40.95837 9.67 NA 0.915 0.657 -1.24 1.28
2017 1 29 21 1 49.5 2 2 7 47.27072 -139.4418 4407.88 584.583 294.048 409.42 NA 409.8777 NA 1927.21 NA 1929.533 9.29 0 175.449 322.9887 43.4492 8.07 -0.458 NA NA -2.323 NA
2017 1 29 21 19 16 2 2 -1 49.27122 -140.3501 9188.29 288.0262 313.4338 406.03 406.0441 406.1228 406.859 1873.63 1873.458 1876.273 9.14 0 18.52 321.5846 93.15138 4.66 -0.093 -0.829 -0.014 -2.643 0.172
2017 1 29 21 34 10 2 2 8 51.04858 -141.2 5704.746 479.3623 285.3392 409.99 410.0555 410.1498 410.2912 1930.6 1930.965 1931.821 9.35 0 183.0938 324.8666 45.41569 8.61 -0.16 -0.301 -0.065 -1.221 -0.365
2017 1 29 21 43 4.5 2 2 8 51.85919 -141.5015 668.325 953.3813 275.0525 411.43 411.0986 411.4886 411.3523 1938.99 1938.096 1939.806 9.32 0 4892.655 322.6236 41.57787 10.04 -0.059 0.078 0.331 -0.816 0.894
2017 1 29 21 46 5 2 2 -1 52.07556 -141.6378 181.6857 1012.613 274.63 411.27 411.105 411.4414 412.054 1938.3 1937.688 1940.137 9.51 0 4825.239 323.3748 42.439 9.88 -0.171 -0.784 0.165 -1.837 0.612
2017 1 29 21 58 43.5 2 2 9 53.03446 -142.3299 5469.633 494.0983 282.6867 411.12 411.057 411.2271 411.4402 1937.41 1936.419 1942.692 9.35 0 198.5742 324.1661 42.50942 9.72 -0.107 -0.32 0.063 -5.282 0.991
2017 1 29 22 3 59 2 2 -1 53.57959 -142.5094 7264.547 375.8376 288.9882 407.68 407.6121 407.5034 NA 1903.41 1903.298 1909.792 9.19 0 39.04765 322.0646 70.60394 6.28 0.177 NA 0.068 -6.382 0.112
2017 1 29 22 12 37.5 2 2 10 54.53665 -143.05 7241.544 376.2919 288.0219 407.72 407.63 407.707 408.2203 1904.57 1904.92 1912.357 9.24 0 38.20312 322.8153 65.83838 6.33 0.013 -0.5 0.09 -7.787 -0.35
2017 1 29 22 38 57.5 2 2 -1 56.71687 -144.4049 184.2375 1005.715 275.2987 410.74 410.6383 410.8881 410.4819 1935.78 1934.99 NA 9.39 0 5452.449 322.7944 42.098 9.38 -0.148 0.258 0.102 NA 0.79
2017 1 29 23 50 39.5 2 2 -1 63.70455 -149.165 10375.91 227.969 340.1329 401.12 401.0737 401.0633 401.5784 1750.11 1756.641 1754.581 8.66 1 5.022188 302.3618 489.8686 -0.24 0.057 -0.458 0.046 -4.471 -6.531
2017 1 30 0 31 17 2 2 12 68.79383 -148.2093 5172.723 505.2915 288.5062 409.61 409.616 409.7203 410.7804 1923.28 1924.766 1922.821 9.3 0 438.3277 325.6092 43.62208 8.26 -0.11 -1.17 -0.006 0.459 -1.486
2017 1 30 0 44 47 2 2 12 69.87211 -147.9375 1014.286 890.2571 271.5114 411.3 411.186 411.5816 412.1611 1944.85 1945.262 1952.268 9.27 0 2678.876 324.6992 37.53071 9.95 -0.282 -0.861 0.114 -7.418 -0.412
2017 1 30 0 54 32.5 2 2 13 70.20115 -148.395 154.0625 995.1862 267.2287 411.6 411.515 NA 411.9017 1950.64 1950.779 NA 9.29 0 2175.91 322.7522 36.25612 10.25 NA -0.302 0.085 NA -0.139
2017 1 30 1 35 33.5 2 2 14 71.24297 -157.3911 578.5375 937.6925 271.0375 410.86 410.8033 NA 411.3918 1939.87 1937.859 NA 9.3 0 2248.434 322.7422 39.94575 9.51 NA -0.532 0.057 NA 2.011
2017 2 1 20 18 9 2 3 1 60.84433 -150.9398 4339.755 588.0991 285.7791 410.01 410.0044 NA 410.5405 1928.33 1928.172 NA 9.36 0 647.76 321.8079 42.57582 8.85 NA -0.53 0.006 NA 0.158
2017 2 1 20 44 14.5 2 3 -1 58.74224 -156.1436 9607.741 274.9959 313.9845 407.79 407.8089 408.034 NA 1899.91 1900.976 1911.594 9.35 0 39.19682 324.0329 51.75923 6.61 -0.244 NA -0.019 -11.684 -1.066
2017 2 1 21 12 16 2 3 2 56.18383 -161.2145 5717.355 492.98 305.1045 408.5 408.3467 408.6343 408.2228 1912.72 1912.707 1912.93 9.37 0 599.2191 323.4339 44.30491 7.31 -0.134 0.277 0.153 -0.21 0.013
2017 2 1 21 17 23.5 2 3 2 55.7983 -161.9091 2892.912 717.215 291.3675 409.64 409.54 410.2751 409.5931 1916.48 1917.863 1921.16 9.42 0 814.7737 324.2702 55.54637 8.44 -0.635 0.047 0.1 -4.68 -1.383
2017 2 1 21 32 41 2 3 3 55.19873 -162.7217 93.92857 1024.45 272.7143 414.4 414.244 414.8402 413.689 1958.02 1958.57 1962.622 9.47 0 5023.499 325.1925 34.857 13.2 -0.44 0.711 0.156 -4.602 -0.55
2017 2 1 21 38 39.5 2 3 3 55.34318 -162.7242 3655.05 649.467 296.654 410.72 410.5512 410.571 411.0166 1933.01 1932.969 NA 9.44 0 804.714 322.8179 45.2985 9.51 0.149 -0.297 0.169 NA 0.041
2017 2 1 21 47 40.5 2 3 3 54.51117 -161.9006 6898.157 418.3657 311.0443 407.78 407.69 407.9481 408.2051 1913.62 1914.262 1916.328 9.38 0 267.615 323.7928 51.497 6.57 -0.168 -0.425 0.09 -2.708 -0.642
2017 2 1 22 4 34.5 2 3 -1 52.5958 -160.0916 10312 250.5104 317.5423 407.16 407.1718 407.3336 407.6283 1895.44 1897.108 1897.733 9.39 0 35.32385 322.9373 57.92908 5.94 -0.174 -0.468 -0.012 -2.293 -1.668
2017 2 1 22 20 54 2 3 4 50.82378 -158.5192 2713.389 730.2144 284.1978 410.44 410.3375 NA NA 1930.79 1930.946 NA 9.43 0 214.4667 322.7779 45.23722 9.24 NA NA 0.103 NA -0.156
2017 2 1 22 27 50.5 2 3 4 50.31334 -158.0919 174.65 1010.681 274.5763 412.05 411.7871 412.2414 NA 1942.66 1942.885 1948.979 9.3 0 5321.023 324.0497 40.27875 10.85 -0.191 NA 0.263 -6.319 -0.225
2017 2 1 22 46 0.5 2 3 5 48.8269 -156.8958 7002.671 408.385 310.8007 408.09 408.2009 408.2518 409.7467 1911.39 1910.123 1906.158 9.37 0 146.565 322.8834 43.69829 6.91 -0.162 -1.657 -0.111 5.232 1.267
2017 2 1 23 8 47 2 3 -1 45.96888 -154.805 10562.51 238.8878 321.9233 406.55 406.5595 406.473 NA 1885.51 1886.577 NA 9.2 0 12.48963 321.4979 82.88926 5.37 0.077 NA -0.01 NA -1.067
2017 2 1 23 32 10 2 3 6 43.42809 -153.144 169.0714 1000.717 277.6629 410.49 410.285 410.6196 410.8984 1932.06 1932.747 1939.335 9.38 0 5808.946 323.913 42.03286 9.3 -0.13 -0.408 0.205 -7.275 -0.687
2017 2 1 23 42 44 2 3 7 42.66639 -152.6759 3283.9 670.3278 294.8278 406.35 406.4025 406.4519 407.0394 1883.88 1885.053 1882.609 9.21 0 20.01444 321.8141 86.792 5.15 -0.102 -0.689 -0.052 1.271 -1.173
2017 2 2 0 1 49 2 3 -1 40.3052 -151.3035 9699.157 274.921 317.6933 407.18 NA 407.2248 408.006 1899.54 NA 1899.16 9.4 0 27.66429 323.3954 49.9699 5.97 -0.045 -0.826 NA 0.38 NA
2017 2 2 0 17 43 2 3 8 38.25215 -150.1996 5509.273 503.4218 309.5964 407.54 407.4778 407.8563 408.8124 1896.56 1896.88 1897.529 9.29 0 335.1445 323.3762 46.47145 6.33 -0.316 -1.272 0.062 -0.969 -0.32
2017 2 2 0 31 29 2 3 -1 36.98819 -149.5535 176.6286 992.9743 281.3486 410.29 410.0867 410.4337 410.461 1932.01 1932.012 1937.353 9.31 0 6663.03 324.2026 41.69214 9.09 -0.144 -0.171 0.203 -5.343 -0.002
2017 2 2 0 40 37.5 2 3 9 36.24997 -149.1871 3375.28 665.241 303.087 409.23 409.0422 409.2994 408.4917 1921.81 1921.34 1929.055 9.48 0 1008.08 323.7142 46.2432 8.03 -0.069 0.738 0.188 -7.245 0.47
2017 2 2 0 57 30 2 3 9 34.21954 -148.2139 10407.8 250.7336 321.582 406.49 406.3985 406.4468 407.1063 1877.77 1878.384 1879.728 9.28 0 67.8452 322.886 62.8762 5.29 0.043 -0.616 0.091 -1.958 -0.614
2017 2 2 1 14 20.5 2 3 10 32.1881 -147.2854 5513.18 509.74 310.214 406.07 405.9022 406.1682 406.6187 1871.45 1871.961 1872.781 9.21 0 1611.961 323.1987 49.5491 4.87 -0.098 -0.549 0.168 -1.331 -0.511
2017 2 2 1 18 34.5 2 3 10 31.7372 -147.0854 2733.262 728.49 302.0537 409.35 409.1917 409.6363 408.8911 1922.92 1922.946 1928.739 9.53 0 1532.806 324.1219 49.00925 8.15 -0.286 0.459 0.158 -5.819 -0.026
2017 2 2 1 25 5 2 3 10 31.15538 -146.8306 186.1 993.4814 286.81 409.49 409.216 NA 408.521 1923.46 1922.09 NA 9.35 0 9394.246 322.6257 46.94986 8.29 NA 0.969 0.274 NA 1.37
2017 2 2 1 34 29 2 3 11 30.43817 -146.5203 3288.978 680.2144 305.9078 410.18 410.1314 410.5069 410.2702 1964.94 1963.004 1965.546 9.85 0 817.9611 324.0684 51.50811 8.99 -0.327 -0.09 0.049 -0.606 1.936
2017 2 2 1 43 49.5 2 3 11 29.48241 -146.6001 7795.644 375.5031 319.8194 406.39 406.3308 406.4592 406.7442 1873.72 1874.656 1871.371 9.23 0 972.1487 323.1849 46.9625 5.2 -0.069 -0.354 0.059 2.349 -0.936
2017 2 2 1 53 19 2 3 11 28.44952 -147.1231 10560.46 250.947 326.1807 406.34 406.2982 NA 406.6154 1874.18 1873.45 NA 9.17 0 103.9604 322.6957 48.06115 5.15 NA -0.275 0.042 NA 0.73
2017 2 2 2 9 47 2 3 12 26.67284 -147.9986 5572.482 511.8164 312.5227 405.88 405.7011 405.7634 406.0926 1881.61 1881.5 NA 9.23 0 1606.73 323.2557 56.82364 4.69 0.117 -0.213 0.179 NA 0.11
2017 2 2 2 14 16 2 3 12 26.3805 -148.3768 2625.3 743.8211 305.3544 410.21 409.83 410.1588 409.9968 1961.72 1959.03 1967.13 9.85 0 272.9578 324.9111 54.94867 9.03 0.051 0.213 0.38 -5.41 2.69
2017 2 2 2 19 36.5 2 3 12 26.06576 -148.7876 196.6 995.4188 290.9337 408.68 408.5467 NA 408.6485 1918.72 1917.95 1922.51 9.32 0 11419.17 324.2244 40.15525 7.5 NA 0.031 0.133 -3.79 0.77
2017 2 2 2 34 44 2 3 13 25.19813 -149.8999 6767.108 438.0654 318.2554 405.99 405.834 406.019 406.9029 1867.14 1867.33 1864.186 9.23 0 1448.125 322.9702 49.11808 4.82 -0.029 -0.913 0.156 2.954 -0.19
2017 2 2 2 44 50 2 3 -1 24.41837 -150.8778 10055.71 274.6552 327.9676 404.98 404.8965 404.9409 405.8798 1854.92 1855.295 1854.915 9.13 0 99.53429 321.1325 110.6357 3.81 0.039 -0.9 0.084 0.005 -0.375
2017 2 2 3 11 44 2 3 14 22.54875 -153.1424 4191.044 613.9689 312.9722 405.76 405.7571 405.8669 406.2447 1867.68 1867.486 1874.198 9.13 0 89.76556 324.247 49.71678 4.6 -0.107 -0.485 0.003 -6.518 0.194
2017 2 2 3 24 19 2 3 14 22.02478 -153.7904 889.4778 917.1944 294.0967 408.23 408.0675 NA 408.0747 1910.78 1910.963 NA 9.32 0 10992.32 322.7557 40.95911 7.08 NA 0.155 0.163 NA -0.183
2017 2 2 3 26 54 2 3 14 21.96273 -153.6261 163.2571 998.4171 293.2 408.23 408.064 408.4394 407.8493 1911.72 1910.823 1914.487 9.32 0 14860.21 323.8564 39.04129 7.08 -0.209 0.381 0.166 -2.767 0.897
2017 2 2 3 44 18.5 2 3 15 21.35203 -154.5358 6332.1 466.6275 320.1225 406.07 406.138 406.2901 406.614 1870.77 1868.847 1869.139 9.19 0 935.4342 324.0475 49.41133 4.92 -0.22 -0.544 -0.068 1.631 1.923
2017 2 2 3 57 31 2 3 16 20.47648 -155.6955 5066.427 551.5027 317.8364 405.4 405.2711 NA 406.9581 1904.07 1901.797 1896.819 9.25 0 601.4582 324.2742 74.85809 4.26 NA -1.558 0.129 7.251 2.273
2017 2 3 19 52 54 2 4 2 16.54686 -161.1965 1966.156 807.0689 302.9622 406.47 406.4914 NA 406.6969 1875.11 1873.622 NA 9.26 0 10934.24 323.0636 29.84367 5.23 NA -0.227 -0.021 NA 1.487
2017 2 3 19 57 42 2 4 2 16.28726 -161.5477 175.5714 995.6129 296.8471 406.94 406.9917 407.4166 407.7449 1887.77 1884.906 1889.446 9.31 0 21163.72 323.6051 22.07771 5.7 -0.477 -0.805 -0.052 -1.676 2.864
2017 2 3 20 8 37.5 2 4 3 15.697 -162.3384 3774.78 648.482 314.663 406.4 405.7837 405.7199 405.9383 1863.46 1862.831 NA 9.13 0 1291.145 323.7136 44.688 5.16 0.68 0.462 0.616 NA 0.629
2017 2 3 20 15 5 2 4 3 15.25066 -162.9315 6419.115 465.8738 329.8346 405.14 405.2164 405.215 406.6023 1858.81 1858.502 1856.915 9.11 0 474.9592 321.7783 49.06638 3.9 -0.075 -1.462 -0.076 1.895 0.308
2017 2 3 20 37 2.5 2 4 -1 13.51543 -165.1948 10373.17 275.2305 345.606 405.38 405.4529 NA 405.8819 1864.06 1865.911 NA 9.15 0 37.0385 322.9736 30.42235 4.15 NA -0.502 -0.073 NA -1.851
2017 2 3 20 52 34.5 2 4 4 12.30064 -166.7439 5764.517 508.365 329.7167 405.47 405.505 NA 405.3723 1861.19 1860.236 NA 9.34 0 948.385 323.4736 33.10658 4.24 NA 0.098 -0.035 NA 0.954
2017 2 3 20 57 19 2 4 4 11.98061 -167.1477 2865.922 725.6489 310.3778 405.8 405.8443 406.3289 406.0916 1858.97 1857.836 1856.189 9.2 0 8461.348 322.5944 23.63011 4.57 -0.529 -0.292 -0.044 2.781 1.134
2017 2 3 21 3 49 2 4 4 11.60353 -167.6219 176.8714 992.9557 298.4014 406.56 406.575 406.8947 406.4021 1872.86 1872.378 1875.304 9.21 0 25042.15 324.1296 13.735 5.33 -0.335 0.158 -0.015 -2.444 0.482
2017 2 3 21 13 45 2 4 5 11.04239 -168.322 3334.956 685.03 315.29 405.58 405.58 405.9331 405.2978 1860.07 1857.384 1861.706 9.15 0 900.9378 324.8029 33.415 4.36 -0.353 0.282 0 -1.636 2.686
2017 2 3 21 19 41.5 2 4 5 10.64056 -168.8208 6225.442 479.1717 332.3742 405.5 405.555 405.6242 NA 1858.15 1857.341 1857.156 9.24 0 440.02 323.0527 26.5265 4.28 -0.124 NA -0.055 0.994 0.809
2017 2 3 21 37 26.5 2 4 5 9.241755 -170.5406 10384.82 275.3214 348.0223 405.02 405.1583 NA 405.2571 1856.19 1856.777 NA 9.16 0 21.63909 322.4736 27.69295 3.81 NA -0.237 -0.138 NA -0.587
2017 2 3 21 49 34 2 4 -1 8.246119 -171.7511 10387.41 275.2833 348.3781 404.84 405.0018 404.9414 405.0012 1850.92 1851.125 1854.416 9.16 0 22.46381 323.7921 23.57486 3.63 -0.101 -0.161 -0.162 -3.496 -0.205
2017 2 3 22 18 21.5 2 4 6 5.874659 -174.5947 5836.708 503.3567 327.7908 405 404.947 405.2908 405.4047 1853.3 1851.295 1854.496 9.07 0 964.0533 324.5325 49.64933 3.81 -0.291 -0.405 0.053 -1.196 2.005
2017 2 3 22 23 54 2 4 6 5.518434 -175.0179 3137.311 701.3167 315.29 405.78 405.6914 NA 405.5804 1854.03 1852.074 NA 9.13 0 5234.892 322.4036 24.30056 4.59 NA 0.2 0.089 NA 1.956
2017 2 3 22 32 7 2 4 6 5.074 -175.5451 242.1143 982.9786 300.7586 405.08 405.086 405.397 404.3683 1828.05 1826.595 1830.803 9.12 0 23891.47 323.2874 9.022 3.9 -0.317 0.712 -0.006 -2.753 1.455
2017 2 3 22 37 45.5 2 4 7 4.78443 -175.887 175.275 990.0075 300.6175 405.09 405.1117 NA 405.1952 1827.37 1825.667 NA 9.07 0 24047.77 322.5936 9.1515 3.91 NA -0.105 -0.022 NA 1.703
2017 2 3 22 40 51.5 2 4 7 4.6159 -176.0862 1708.537 828.9238 306.835 405 404.94 405.4116 405.0391 1833.6 1831.393 1831.24 9.04 0 11039.95 323.1606 12.70787 3.82 -0.412 -0.039 0.06 2.36 2.207
2017 2 3 22 45 51 2 4 7 4.313823 -176.4429 4929.845 563.51 324.8473 405.69 405.6033 406.0555 405.9407 1859.74 1856.737 1857.901 9.13 0 1831.032 323.8112 37.16364 4.51 -0.366 -0.251 0.087 1.839 3.003
2017 2 3 22 50 43 2 4 7 4.016985 -176.7931 7532.465 404.8006 336.7476 406.1 406.16 NA 406.1673 1871.46 1871.245 NA 9.24 0 122.5929 322.5836 32.87365 4.93 NA -0.067 -0.06 NA 0.215
2017 2 3 22 57 16.5 2 4 7 3.570032 -177.3196 9358.627 317.3714 345.7486 405.02 405.0672 404.9987 405.409 1840.46 1839.359 1840.781 9.08 0 108.2336 322.5225 24.97809 3.85 0.021 -0.389 -0.047 -0.321 1.101
2017 2 3 23 16 41.5 2 4 7 2.518968 -178.5535 10698.62 263.21 349.1546 404.65 404.7332 404.7338 NA 1824.45 1823.818 1830.058 9.01 0 102.495 322.8622 20.19231 3.48 -0.084 NA -0.083 -5.608 0.632
2017 2 3 23 33 51 2 4 -1 1.107386 179.7948 10715.85 262.8736 348.5 404.68 404.7695 404.7614 405.822 1825.72 1824.569 1824.333 9.02 0 118.6596 323.2533 19.50196 3.51 -0.081 -1.142 -0.09 1.387 1.151
2017 2 3 23 44 53 2 4 8 0.1737752 178.7041 10093.49 287.4395 347.9686 404.73 404.7412 404.8209 405.6662 1826.6 1825.018 1820.823 9.12 0 139.1067 322.8534 19.92133 3.56 -0.091 -0.936 -0.011 5.777 1.582
2017 2 3 23 49 21 2 4 8 -0.2975662 178.4609 7050.8 431.4715 335.1731 404.23 404.337 404.5334 405.2305 1813.94 1811.912 1814.067 8.99 0 466.3877 323.3305 18.53908 3.06 -0.303 -1 -0.107 -0.127 2.028
2017 2 3 23 56 0 2 4 8 -1.007411 178.3666 2581.578 748.2556 314.48 403.48 403.5343 404.017 403.7869 1794.19 1792.764 NA 8.98 0 7177.762 321.9036 15.19567 2.31 -0.537 -0.307 -0.054 NA 1.426
2017 2 3 23 58 29 2 4 8 -1.242244 178.3349 1327.043 866.6671 303.1229 405.13 405.038 405.3503 405.239 1831.39 1829.787 1829.555 9.07 0 16630.64 323.9106 13.08443 3.96 -0.22 -0.109 0.092 1.835 1.603
2017 2 4 0 1 58.5 2 4 8 -1.548834 178.2942 194.7 986.7625 300.5875 405.26 NA 405.499 405.6807 1827.45 NA 1830.97 9.09 0 23140.75 325.082 9.88075 4.09 -0.239 -0.421 NA -3.52 NA
2017 2 4 0 9 46 2 4 9 -2.237281 178.2027 2100.178 790.9356 310.33 404.51 404.465 404.6576 NA 1823.13 1821.004 NA 9.08 0 5658.644 321.8214 13.88533 3.34 -0.148 NA 0.045 NA 2.126
2017 2 4 0 17 13.5 2 4 9 -3.020407 178.0986 6296.867 474.4808 332.3367 404.26 404.239 404.3489 NA 1816.81 1816.07 1813.233 9.1 0 421.9258 322.4547 23.47183 3.08 -0.089 NA 0.021 3.577 0.74
