year mon day hour min sec camp flt prof lat lon alt pressure theta co2 co2qcls co2oms co2ao2 strat h2oref n2oref o3ref co2mspo co2mqcls co2moms co2mao2
2009 1 10 2 26 51.53852 1 2 14 58.6106 -133.9954 5914 455.5125 295.0717 388.6515 387.9765 388.01 NA 0 407.1821 324.5692 47.84608 5.233 0.675 0.641 NA
2009 1 10 2 30 49.38398 1 2 14 58.4465 -134.4877 4158 582.1352 289.4115 NA 388.2135 NA NA 0 1692.62 324.7646 42.48275 NA NA NA NA
2009 1 10 2 34 31.8599 1 2 15 58.3056 -134.8977 3132 670.5747 286.914 389.9788 NA 389.3746 389.8324 0 2607.59 324.3814 40.09757 6.557 NA 0.604 0.146
2009 1 10 2 52 31.47826 1 2 15 58.9092 -138.0746 10988 208.0864 339.7208 383.8304 383.418 383.3833 383.4263 1 5.414519 310.5586 345.4509 0.403 0.412 0.447 0.404
2009 1 10 3 10 9.427226 1 2 0 59.6747 -141.4911 12516 161.5596 363.2653 383.3711 382.9726 NA 383.7334 1 4.153972 303.3089 516.045 -0.059 0.399 NA -0.362
2009 1 10 3 22 7.908678 1 2 0 60.1498 -143.9349 12490 161.3909 362.9392 383.3412 383.0114 383.0258 383.3234 1 4.008658 303.8089 511.3352 -0.089 0.33 0.315 0.018
2009 1 12 19 9 44.83071 1 3 18 63.6694 -148.7546 5282 496.1124 295.0552 388.7214 NA NA 388.7164 0 637.0652 NA 48.65023 5.293 NA NA 0.005
2009 1 12 19 13 32.91826 1 3 18 64.0089 -148.5381 3617 625.4066 287.1985 389.4499 NA 389.1178 389.3937 0 1558.602 NA 46.82859 6.022 NA 0.332 0.056
2009 1 12 19 16 17.46056 1 3 18 64.2346 -148.391 2464 730.2508 283.1676 389.3202 388.6759 388.9106 389.3018 0 2061.172 NA 46.18229 5.893 0.644 0.41 0.018
2009 1 12 19 20 9.108608 1 3 18 64.506 -148.2581 1317 846.3356 276.5911 389.5696 389.5112 NA 389.8397 0 2234.12 324.0424 43.29085 6.143 0.058 NA -0.27
2009 1 12 19 28 54.0933 1 3 19 64.813 -147.863 471 948.0264 259.5813 392.8725 392.6902 NA 392.3584 0 874.462 323.4948 35.57934 9.447 0.182 NA 0.514
2009 1 12 20 11 34.24732 1 3 20 68.9571 -148.442 7465 356.7033 296.6763 387.7832 387.3925 387.6141 388.1451 0 15.70644 323.7614 59.3953 4.359 0.391 0.169 -0.362
2009 1 12 20 19 38.95232 1 3 20 69.7281 -148.6199 4004 594.6405 282.5154 389.4599 388.7989 NA NA 0 198.3571 324.1196 49.91309 6.033 0.661 NA NA
2009 1 12 20 22 19.48945 1 3 20 69.9293 -148.7021 2468 734.7004 278.7982 389.4599 388.4065 388.453 NA 0 448.142 324.0825 48.65326 6.032 1.053 1.007 NA
2009 1 12 20 25 1.418819 1 3 20 70.0482 -149.0625 929 899.7438 268.1941 389.5297 NA 388.8576 NA 0 704.4558 323.9386 46.39573 6.101 NA 0.672 NA
2009 1 12 20 34 20.79232 1 3 21 70.1959 -148.4202 371 968.4146 258.9688 391.5155 NA 390.8256 391.4846 0 774.2356 323.6671 39.26259 8.084 NA 0.69 0.031
2009 1 12 20 47 39.5993 1 3 21 71.1218 -149.1156 6029 442.9623 288.3101 388.9709 388.6259 388.8146 388.988 0 41.6998 323.8786 44.78856 5.535 0.345 0.156 -0.017
2009 1 12 21 0 25.19967 1 3 0 72.3462 -150.1561 7919 329.7142 293.7222 389.2204 388.7786 NA NA 0 23.61235 323.7101 43.89915 5.78 0.442 NA NA
2009 1 12 21 6 12.0384 1 3 22 72.9361 -150.7106 5858 453.8543 285.8975 NA 389.2218 389.3722 389.9193 0 124.6724 323.7147 46.9608 NA NA NA NA
2009 1 12 21 10 16.10427 1 3 22 73.3258 -151.0985 4132 583.8854 280.3265 389.8191 389.3263 NA 389.9134 0 277.5235 323.9568 45.88029 6.374 0.493 NA -0.094
2009 1 12 21 13 27.10835 1 3 22 73.6144 -151.3978 2770 705.6648 276.7599 390.827 NA 390.1783 390.684 0 655.8381 324.0336 43.33712 7.38 NA 0.649 0.143
2009 1 12 21 18 24.94517 1 3 22 73.9734 -151.7859 668 935.3507 259.7712 NA 391.4728 391.8795 392.4141 0 523.0559 323.3132 34.1486 NA NA NA NA
2009 1 12 21 21 11.49188 1 3 23 74.1531 -151.9865 451 962.6545 257.1215 392.5133 392.0152 392.2197 392.5067 0 642.7609 323.4327 32.24035 9.063 0.498 0.294 0.007
2009 1 12 21 43 15.83201 1 3 0 75.9882 -154.246 7802 329.7234 290.4603 389.1106 NA 388.8588 NA 0 28.13295 324.3025 45.65103 5.649 NA 0.252 NA
2009 1 12 21 48 30.56335 1 3 24 76.4375 -154.8756 5804 450.0098 283.5405 389.2403 388.745 388.8044 389.2398 0 128.3832 323.6787 47.88937 5.776 0.495 0.436 0.001
2009 1 12 21 52 25.56522 1 3 24 76.7388 -155.3228 4148 573.9072 277.626 389.9588 389.5342 389.4938 389.9939 0 347.3432 324.0418 44.2673 6.493 0.425 0.465 -0.035
2009 1 12 21 56 57.19299 1 3 24 77.0549 -155.8136 2237 749.8975 268.7265 389.9688 389.4579 389.6711 389.9543 0 584.3378 323.6466 42.7954 6.5 0.511 0.298 0.015
2009 1 12 22 0 51.19647 1 3 24 77.3019 -156.2158 628 934.8871 254.7933 395.3466 394.6591 NA 395.348 0 502.0043 323.8554 28.90162 11.876 0.688 NA -0.001
2009 1 12 22 3 35.09952 1 3 0 77.4623 -156.486 299 977.3427 249.7859 396.7631 396.174 396.2626 396.8542 0 548.4682 323.85 26.05917 13.292 0.589 0.5 -0.091
2009 1 12 22 10 53.56055 1 3 25 77.932 -157.3208 3124 659.2095 272.5954 390.0985 389.8125 NA 390.0204 0 107.1794 323.8468 40.25716 6.624 0.286 NA 0.078
2009 1 12 22 15 53.50256 1 3 25 78.3274 -158.0785 5185 487.0163 281.1913 388.7313 NA 388.2545 388.68 0 38.21627 323.7952 51.9434 5.255 NA 0.477 0.051
2009 1 12 22 19 34.53267 1 3 25 78.6422 -158.722 6709 384.912 288.8466 386.3959 386.0648 NA NA 0 22.41611 322.3991 81.58682 2.918 0.331 NA NA
2009 1 12 22 34 30.39164 1 3 25 80.0811 -161.9353 8515 287.8274 298.0489 388.0826 387.6398 387.8747 388.2304 0 17.19556 323.1674 55.4766 4.598 0.443 0.208 -0.148
2009 1 12 23 38 42.41233 1 3 25 73.8913 -151.6968 8716 287.75 295.2764 388.6615 388.0925 388.1089 NA 0 13.17155 323.7369 48.88412 5.15 0.569 0.553 NA
2009 1 12 23 43 33.3025 1 3 25 73.3584 -151.1327 10415 217.2519 318.1308 385.3677 NA 384.9293 385.1682 0 9.066832 321.6268 128.7434 1.855 NA 0.438 0.199
2009 1 13 0 2 34.9497 1 3 0 71.092 -149.0928 12278 161.822 352.4522 383.2913 383.0399 NA NA 1 3.731118 303.6231 517.1477 -0.23 0.251 NA NA
2009 1 13 0 8 12.82708 1 3 0 70.399 -148.5623 12304 161.8114 354.0731 383.0816 382.6758 382.4703 383.2096 1 3.627 297.1677 632.5333 -0.441 0.406 0.611 -0.128
2009 1 13 0 16 46.55528 1 3 0 69.3534 -148.4337 12349 161.7968 356.7575 383.7405 383.3295 383.1662 383.6948 1 3.556958 311.2619 345.8479 0.215 0.411 0.574 0.046
2009 1 14 20 58 0.4900632 1 4 28 54.9426 -162.6523 8032 329.7567 314.2932 384.6989 384.5914 NA 384.7139 1 15.55851 318.2825 205.3054 1.159 0.107 NA -0.015
2009 1 14 21 3 27.18633 1 4 28 54.5274 -162.4808 5982 444.3352 300.3815 388.6016 388.5142 387.8871 388.5634 0 459.3781 323.6259 64.26344 5.06 0.087 0.715 0.038
2009 1 14 21 9 37.20415 1 4 28 54.0562 -162.2989 4199 569.2103 295.8759 389.7094 389.6207 NA 389.6656 0 753.7949 323.5473 49.42029 6.166 0.089 NA 0.044
2009 1 14 21 23 10.68045 1 4 28 53.0531 -161.9288 2523 710.2843 290.7523 389.6894 389.7931 389.1504 NA 0 3148.095 323.338 46.88924 6.142 -0.104 0.539 NA
2009 1 14 21 26 8.091469 1 4 28 52.8476 -161.8621 1194 841.6844 284.3494 390.0786 NA 389.5348 NA 0 6834.479 323.4593 43.49452 6.53 NA 0.544 NA
2009 1 14 21 29 3.127803 1 4 0 52.6501 -161.7982 323 937.8681 281.3493 389.9788 389.9273 NA 390.2304 0 8233.733 323.1515 43.0033 6.429 0.051 NA -0.252
2009 1 14 22 32 40.99404 1 4 0 47.7719 -160.5306 8003 329.7518 308.907 385.6173 385.693 385.3207 385.4549 0 17.33338 321.0514 125.6375 1.97 -0.076 0.297 0.162
2009 1 14 22 40 14.92845 1 4 32 47.1359 -160.4038 5950 447.3262 299.2843 389.3102 388.9561 NA NA 0 488.9818 323.7955 49.00125 5.643 0.354 NA NA
2009 1 14 22 47 24.56986 1 4 32 46.5445 -160.2885 2741 692.2801 290.3961 389.0607 388.7099 388.4454 389.0404 0 2018.891 323.7112 47.78165 5.374 0.351 0.615 0.02
2009 1 14 22 50 39.68273 1 4 32 46.2997 -160.2415 1286 834.6218 285.1921 389.8491 389.496 NA 389.789 0 4798.72 323.9674 43.41812 6.154 0.353 NA 0.06
2009 1 14 22 53 53.73416 1 4 0 46.0685 -160.1976 320 940.6204 283.0891 389.5796 389.1313 389.0383 389.7683 0 8776.169 323.5612 42.94166 5.876 0.448 0.541 -0.189
2009 1 14 23 59 50.69354 1 4 0 41.0677 -159.2005 8184 329.7026 314.1383 387.1245 386.9782 NA NA 0 267.0799 322.4238 77.28436 3.484 0.146 NA NA
2009 1 15 0 5 12.60973 1 4 36 40.6849 -159.1278 6160 442.8908 306.2321 388.4918 NA 387.9988 388.3011 0 965.8659 323.7024 61.17463 4.853 NA 0.493 0.191
2009 1 15 0 9 9.702455 1 4 36 40.3758 -159.0696 4368 566.255 301.7066 388.8411 388.6358 388.3588 388.8874 0 978.3522 323.7457 55.45057 5.204 0.205 0.482 -0.046
2009 1 15 0 12 30.34915 1 4 36 40.1179 -159.0218 2848 691.225 294.7424 389.1904 NA 388.765 389.2416 0 4879.612 323.8845 52.17055 5.554 NA 0.425 -0.051
2009 1 15 0 15 52.43897 1 4 36 39.8793 -158.9742 1315 838.7453 288.5978 389.38 NA 388.819 389.3136 0 7993.834 NA 45.46876 5.744 NA 0.561 0.066
2009 1 15 0 19 18.18971 1 4 0 39.6529 -158.9261 315 947.3924 286.4125 389.2603 388.9742 388.7876 389.3659 0 11897.28 323.8225 44.42676 5.626 0.286 0.473 -0.106
2009 1 15 1 22 55.35572 1 4 0 35.0665 -158.0125 8466 329.7557 319.1655 388.392 388.2005 387.8977 NA 0 1319.031 323.4599 49.89993 4.775 0.192 0.494 NA
2009 1 15 1 28 42.09905 1 4 40 34.5681 -157.9089 6393 443.2764 314.3688 388.5517 388.3363 NA 388.514 0 1868.797 324.5269 49.94482 4.936 0.215 NA 0.038
2009 1 15 1 33 25.79246 1 4 40 34.1932 -157.8306 4197 594.1549 305.016 387.6435 387.7815 387.13 387.6208 0 4271.944 324.5747 50.47305 4.029 -0.138 0.514 0.023
2009 1 15 1 36 8.150367 1 4 40 34.0122 -157.7932 2947 697.3473 299.9825 388.7912 NA 388.2904 388.7841 0 2190.988 324.4362 49.22339 5.178 NA 0.501 0.007
2009 1 15 1 39 20.5271 1 4 40 33.8064 -157.7507 1462 838.3507 295.7126 388.9309 388.4119 388.4005 388.9757 0 7177.727 324.1631 47.14283 5.319 0.519 0.53 -0.045
2009 1 15 1 43 4.492754 1 4 0 33.5898 -157.7577 315 961.1714 292.3838 388.921 NA 388.2755 388.8341 0 17129.96 323.9589 44.9319 5.31 NA 0.645 0.087
2009 1 15 2 26 39.26942 1 4 42 30.0158 -157.0032 338 965.9022 293.7299 388.7313 388.6821 388.1767 388.629 0 17394.47 323.2166 44.25419 5.132 0.049 0.555 0.102
2009 1 15 2 29 43.41543 1 4 43 29.8176 -156.9772 1433 848.7222 298.1562 388.6715 388.7694 NA 388.897 0 7582.315 322.6229 48.17853 5.073 -0.098 NA -0.225
2009 1 15 2 33 26.50958 1 4 43 29.5629 -156.9452 3188 685.6529 305.7493 387.4539 387.2022 386.9083 387.2885 0 1520.041 322.8709 52.99218 3.856 0.252 0.546 0.165
2009 1 15 2 36 19.93273 1 4 43 29.3421 -156.9176 4555 577.3196 309.5781 386.7652 386.3473 386.3271 386.8651 0 831.1461 323.0212 53.14265 3.169 0.418 0.438 -0.1
2009 1 15 2 40 19.55876 1 4 43 28.9552 -156.8697 6450 450.4638 322.751 386.1463 385.8417 NA NA 0 141.7283 322.9604 73.9747 2.551 0.305 NA NA
2009 1 15 2 44 55.71519 1 4 43 28.379 -156.799 8719 333.2544 339.2982 386.1563 NA 385.8944 386.2579 0 68.53665 323.2319 51.49588 2.562 NA 0.262 -0.102
2009 1 15 2 51 11.37742 1 4 43 27.5526 -156.6989 11402 227.3011 350.8561 386.1363 386.1985 385.8082 385.9636 0 15.36311 322.9086 49.58598 2.544 -0.062 0.328 0.173
2009 1 15 3 2 42.55773 1 4 0 25.9917 -156.5137 13671 161.7226 364.8115 385.5773 385.7058 385.1498 385.6342 0 2.84099 323.2314 38.57392 1.99 -0.128 0.428 -0.057
2009 1 15 3 11 14.31492 1 4 0 24.8997 -156.6808 13674 161.6691 363.4277 385.5274 385.6816 385.0971 385.5187 0 3.147108 323.5347 36.89128 1.949 -0.154 0.43 0.009
2009 1 16 21 56 8.008352 1 5 46 14.8654 -160.5469 9026 331.2597 337.9546 387.7134 NA 386.745 387.5735 0 129.5793 324.7823 35.6063 4.216 NA 0.968 0.14
2009 1 16 22 0 36.37832 1 5 46 14.4255 -160.6994 6824 444.3593 332.2512 386.3759 385.8058 NA 386.4552 0 234.9546 324.9742 31.04434 2.875 0.57 NA -0.079
2009 1 16 22 4 38.7561 1 5 46 14.0554 -160.8271 4844 571.1078 318.0359 387.3241 386.9279 386.8323 387.3768 0 3357.914 324.993 28.27621 3.821 0.396 0.492 -0.053
