year month SPO_NOAA_insitu SPO_NOAA_flask SPO_SIO_O2_flask SPO_SIO_CDK_flask SPO_CSIRO_flask HBA_NOAA_flask SYO_NOAA_flask SYO_TU_insitu MAA_CSIRO_flask CYA_CSIRO_flask PSA_NOAA_flask PSA_SIO_O2_flask DRP_NOAA_flask MQA_CSIRO_insitu CRZ_NOAA_flask BHD_NIWA_insitu CGO_NOAA_flask CGO_SIO_O2_flask CGO_CSIRO_flask CGO_CSIRO_insitu AMS_LSCE_insitu CPT_SAWS_insitu LMG65_NOAA_underway LMG63_NOAA_underway LMG61_NOAA_underway LMG59_NOAA_underway LMG57_NOAA_underway LMG65_NCAR_underway LMG63_NCAR_underway LMG61_NCAR_underway LMG59_NCAR_underway LMG57_NCAR_underway
1998 1 362.3371 362.2583 362.2444 362.1098 362.153 361.7367 NA 362.3285 362.6207 362.68 362.1217 362.02 NA NA 361.4875 NA 362.079 361.7109 362.0794 NA 362.4077 NA NA NA NA NA NA NA NA NA NA NA
1998 2 362.4668 362.4333 362.2942 362.3092 362.313 361.955 NA 362.3422 362.295 362.97 361.9217 362.2843 NA NA 361.5467 362.3821 362.0692 361.9103 362.1513 NA 362.5873 NA NA NA NA NA NA NA NA NA NA NA
1998 3 362.535 362.6383 362.3989 362.4189 362.432 362.0937 NA 362.6147 362.3926 363.1085 362.275 362.4189 NA NA 362.1075 363.0076 362.6763 362.4737 362.439 NA 362.3725 NA NA NA NA NA NA NA NA NA NA NA
1998 4 362.8549 362.845 362.6183 362.6881 362.759 362.429 NA 362.9302 362.7758 363.3767 362.71 362.9473 NA NA 362.77 362.8594 362.8225 362.7678 362.6873 NA 362.5899 NA NA NA NA NA NA NA NA NA NA NA
1998 5 363.1804 363.275 362.9822 363.0072 363.045 363.0225 NA 363.3785 363.2498 363.54 363.1937 363.3628 NA NA 362.92 NA 363.24 362.9174 363.1702 NA 362.9651 NA NA NA NA NA NA NA NA NA NA NA
1998 6 363.6658 363.6067 363.4359 363.5655 363.482 363.3525 NA 363.8637 363.78 363.8157 363.965 363.8148 NA NA 363.335 363.4278 363.7 363.396 363.565 NA 363.454 NA NA NA NA NA NA NA NA NA NA NA
1998 7 364.134 364.179 363.8796 364.0641 363.876 363.9017 NA 364.393 364.4128 364.3478 364.421 364.4297 NA NA 364.09 364.1767 364.1317 363.8912 363.8841 NA 363.9861 NA NA NA NA NA NA NA NA NA NA NA
1998 8 364.7882 364.73 364.5576 364.5726 364.494 364.4012 NA 364.9855 364.8226 364.8183 364.735 364.7022 NA NA 364.765 364.4723 364.7325 364.6723 364.7315 NA 364.4858 NA NA NA NA NA NA NA NA NA NA NA
1998 9 365.0907 365.0767 364.8618 365.0013 364.969 364.74 NA 365.3387 365.0892 365.1905 365.0687 364.9914 NA NA 365.0925 365.0733 365.0233 364.8967 365.1411 NA 364.7101 NA NA NA NA NA NA NA NA NA NA NA
1998 10 365.1323 365.15 364.9914 365.0313 NA 364.855 NA 365.3552 365.067 365.2505 365.175 365.1077 NA NA 365.1475 NA 364.9763 364.7521 365.0611 NA 364.2692 NA NA NA NA NA NA NA NA NA NA NA
1998 11 365.1491 365.12 365.2174 365.131 365.192 365.08 NA 365.2954 365.1614 365.2695 365.01 365.121 NA NA 364.8917 364.7066 364.9575 364.8368 364.9792 NA 364.2225 NA NA NA NA NA NA NA NA NA NA NA
1998 12 365.087 365.13 365.0911 365.0013 NA 364.9725 NA 365.1803 365.3145 365.0491 364.9 364.8618 NA NA 364.92 364.4641 364.925 364.7571 364.8809 NA 364.613 NA NA NA NA NA NA NA NA NA NA NA
1999 1 365.0233 365.1871 365.0878 364.9615 365.208 364.95 365.265 365.0374 364.9575 365.0297 364.8163 364.7022 NA NA 364.6025 364.808 364.9575 364.9814 364.9474 NA 364.6776 NaN NA NA NA NA NA NA NA NA NA NA
1999 2 364.9477 365.042 364.9615 364.782 365.111 364.915 364.9875 364.9631 364.7038 364.7707 364.6783 364.8867 NA NA NA 364.6978 365.09 365.0313 365.1991 NA 364.9108 NaN NA NA NA NA NA NA NA NA NA NA
1999 3 364.8559 365.0717 364.8717 364.8418 365 365.002 364.8425 364.9023 364.782 364.9817 364.8025 364.8717 NA NA 364.72 364.8681 364.888 364.6956 364.8469 NA 364.796 364.8227 NA NA NA NA NA NA NA NA NA NA
1999 4 365.0247 365.1425 365.0562 365.0213 364.934 365.1375 365.01 365.1305 364.933 NA 365.1687 365.1974 NA NA NA 364.893 364.99 364.9066 365.0387 NA 364.6463 365.2403 NA NA NA NA NA NA NA NA NA NA
1999 5 365.2323 365.315 365.126 365.0811 365.072 365.2633 365.29 365.3866 365.223 365.4045 365.557 365.3254 NA NA 365.045 365.14 365.1212 365.0063 365.189 NA 364.6205 365.3476 NA NA NA NA NA NA NA NA NA NA
1999 6 365.5536 365.6067 365.5697 NA NA 365.365 365.6025 365.6829 365.5585 366.2344 365.7475 365.6794 NA NA 365.635 365.395 365.4317 365.3104 365.317 NA 365.0602 365.2768 NA NA NA NA NA NA NA NA NA NA
1999 7 365.8787 365.7175 365.804 365.6893 365.771 365.7737 365.9 366.0037 365.7435 366.3208 366.011 365.9885 NA NA NA 365.6841 365.905 365.819 365.8251 NA 365.3848 365.3596 NA NA NA NA NA NA NA NA NA NA
1999 8 366.267 366.1442 366.163 365.9386 365.99 366.1412 366.4725 366.4116 366.353 366.439 366.385 366.2577 NA NA NA 366.2729 366.132 365.8688 366.0834 NA 365.8142 365.6433 NA NA NA NA NA NA NA NA NA NA
1999 9 366.5252 366.5017 366.492 366.3773 366.527 366.45 366.6325 366.6838 366.513 366.642 366.7537 366.5003 NA NA NA 366.2443 366.4338 366.2012 366.4976 NA 366.0295 365.9592 NA NA NA NA NA NA NA NA NA NA
1999 10 366.6619 366.6408 366.5967 366.5169 366.485 366.34 366.6925 366.7886 366.6863 366.5835 366.9562 366.6665 NA NA NA NA 366.545 366.2976 366.6107 NA 366.1489 366.1056 NA NA NA NA NA NA NA NA NA NA
