year month SPO_NOAA_insitu SPO_NOAA_flask SPO_SIO_O2_flask SPO_SIO_CDK_flask SPO_CSIRO_flask HBA_NOAA_flask SYO_NOAA_flask SYO_TU_insitu MAA_CSIRO_flask CYA_CSIRO_flask PSA_NOAA_flask PSA_SIO_O2_flask DRP_NOAA_flask MQA_CSIRO_insitu CRZ_NOAA_flask BHD_NIWA_insitu CGO_NOAA_flask CGO_SIO_O2_flask CGO_CSIRO_flask CGO_CSIRO_insitu AMS_LSCE_insitu CPT_SAWS_insitu LMG65_NOAA_underway LMG63_NOAA_underway LMG61_NOAA_underway LMG59_NOAA_underway LMG57_NOAA_underway LMG65_NCAR_underway LMG63_NCAR_underway LMG61_NCAR_underway LMG59_NCAR_underway LMG57_NCAR_underway
1999 11 366.769 366.765 366.821 366.7463 366.856 366.425 366.845 366.8804 366.6717 367.194 366.785 366.2677 NA NA NA 365.982 366.4775 365.9735 366.5451 NA 366.0987 366.3914 NA NA NA NA NA NA NA NA NA NA
1999 12 366.6823 366.6567 366.6466 366.8161 366.831 366.305 366.67 366.7233 366.739 366.435 366.5062 366.492 NA NA 366.2775 365.9001 366.45 366.3524 366.4653 NA 366.2465 366.6141 NA NA NA NA NA NA NA NA NA NA
2000 1 366.5256 366.5306 366.6117 366.497 366.658 365.8338 366.605 366.4271 NA 366.6117 366.0583 366.1879 NA NA NA 365.8984 366.4583 366.497 366.522 NA 366.3147 366.3014 NA NA NA NA NA NA NA NA NA NA
2000 2 366.3785 366.3667 366.5419 366.5169 366.511 365.9667 366.335 366.3987 366.078 366.609 365.995 366.1214 NA NA NaN 365.8145 366.2883 366.2328 366.3903 NA 366.3119 366.0595 NA NA NA NA NA NA NA NA NA NA
2000 3 366.2866 366.2628 366.3973 NA 366.417 366.0712 366.185 366.3112 366.0915 366.8095 366.3037 366.2377 NA NA 366.2425 365.9739 366.2238 366.0682 366.137 NA 366.1816 366.0078 NA NA NA NA NA NA NA NA NA NA
2000 4 366.3605 366.2744 366.2976 366.487 366.281 366.2817 366.47 366.4742 366.1043 366.8328 366.4125 366.3973 NA NA 366.2117 366.2114 366.3017 366.158 366.0732 NA 366.0209 365.7474 NA NA NA NA NA NA NA NA NA NA
2000 5 366.4866 366.3838 366.6565 366.6067 366.295 366.263 366.7525 366.625 366.3405 NA 366.5612 366.5917 NA NA 366.2662 366.865 366.365 366.2278 366.401 NA 365.9201 365.9036 NA NA NA NA NA NA NA NA NA NA
2000 6 366.7825 366.6607 366.7762 366.826 366.613 366.5438 366.8125 366.8048 366.658 NA 366.92 367.0155 NA NA 366.7967 367.0733 366.5975 366.5618 366.82 NA 366.4462 366.5702 NA NA NA NA NA NA NA NA NA NA
2000 7 367.2251 367.0117 367.0105 367.1451 366.905 367.0025 367.23 367.1628 366.843 NA 366.9967 367.1916 NA NA 367.1067 366.9811 367.2025 367.18 367.2057 NA 366.8607 366.7699 NA NA NA NA NA NA NA NA NA NA
2000 8 367.7117 367.4481 367.3744 367.5539 367.263 367.3025 367.5975 367.6039 367.413 NA 367.6875 367.873 NA NA 367.4617 367.5242 367.385 367.4409 367.3425 NA 367.1138 367.3217 NA NA NA NA NA NA NA NA NA NA
2000 9 367.916 367.6595 367.8281 367.6736 367.579 367.5463 367.7 367.846 367.556 NA 367.7263 367.8929 NA NA 367.985 367.2029 367.5925 367.5489 367.6576 NA 367.1698 367.232 NA NA NA NA NA NA NA NA NA NA
2000 10 367.9165 367.73 367.9677 367.7733 NA 367.645 NaN 367.8896 367.7687 NA 367.892 367.9079 NA NA 368.15 367.6388 367.7188 367.6885 367.7807 NA 367.2064 367.3005 NA NA NA NA NA NA NA NA NA NA
2000 11 367.8272 367.8269 367.9926 367.9029 367.807 367.741 367.8125 367.9083 367.6915 NA 367.6937 367.8032 NA NA 367.755 367.6224 367.7175 367.6137 367.763 NA 367.3798 367.3386 NA NA NA NA NA NA NA NA NA NA
2000 12 368.082 367.8444 367.9478 367.853 367.786 367.5075 367.775 367.8716 367.7905 NA 367.4887 367.6586 NA NA 367.75 367.7113 367.6475 367.524 367.6205 NA 367.2572 367.2825 NA NA NA NA NA NA NA NA NA NA
2001 1 367.9027 367.78 367.8979 367.8431 367.828 367.334 367.465 367.7254 367.723 NA 367.264 367.2149 NA NA 367.1417 NA 367.3738 367.3595 367.537 NA 367.748 367.1977 NA NA NA NA NA NA NA NA NA NA
2001 2 367.6313 NA 367.519 367.1351 367.599 367.1962 367.66 367.6677 367.5918 NA 367.16 367.0587 NA NA 367.1667 NA 367.475 367.4392 367.4605 NA 367.8253 367.095 NA NA NA NA NA NA NA NA NA NA
2001 3 367.5727 NA 367.524 367.0753 367.442 367.4212 367.515 367.6946 367.645 NA 367.28 367.4392 NA NA 367.0625 367.7075 367.5167 367.5838 367.5983 NA 368.0536 367.2135 NA NA NA NA NA NA NA NA NA NA
2001 4 367.8431 NA 367.6437 367.4044 367.602 367.6962 367.9275 367.9318 367.7047 NA 367.755 NA NA NA 367.3933 367.4885 367.6675 367.6486 367.6014 NA 367.9101 367.4699 NA NA NA NA NA NA NA NA NA NA
2001 5 368.103 NA 368.212 367.6337 367.872 367.9467 368.215 368.1799 368.047 NA 368.3 NA NA NA 367.6467 367.9121 367.97 367.8132 367.8918 NA 367.679 367.7742 NA NA NA NA NA NA NA NA NA NA
2001 6 368.361 NA 368.4014 367.9627 368.24 368.245 368.305 368.479 367.921 NA 368.3712 NA NA NA 368.6725 368.1549 368.1725 368.3317 368.08 NA 368.196 368.1889 NA NA NA NA NA NA NA NA NA NA
2001 7 368.7956 368.7933 368.6956 368.3416 368.422 368.6987 368.8017 368.9571 368.655 NA 368.8417 NA NA NA 368.8033 368.3179 368.6717 368.7355 368.7192 NA 368.7331 368.266 NA NA NA NA NA NA NA NA NA NA
2001 8 369.2895 369.112 369.254 368.89 368.969 369.2783 369.365 369.4221 369.2545 NA 369.4117 NA NA NA 369.2217 368.2193 368.9333 369.0795 369.0105 NA 369.1216 368.9158 NA NA NA NA NA NA NA NA NA NA
2001 9 369.62 369.3958 369.2191 369.4683 369.409 369.7783 369.8375 369.7714 369.6055 NA 369.625 NA NA NA 369.5717 368.0349 369.585 369.4833 369.6201 NA 369.3902 369.1003 NA NA NA NA NA NA NA NA NA NA
2001 10 369.8711 369.8613 369.9037 369.6179 369.8205 369.9625 369.98 369.9823 369.6752 NA 370.1512 370.605 NA NA 369.8375 368.4326 369.6775 369.5531 369.6957 NA 369.5239 369.2111 NA NA NA NA NA NA NA NA NA NA
2001 11 369.9044 369.811 370.0267 369.4983 369.572 370.0983 369.9483 370.0424 369.7995 NA 369.9963 370.1115 NA NA NA 368.2748 369.395 369.3188 369.3462 NA 369.5959 369.1778 NA NA NA NA NA NA NA NA NA NA
2001 12 369.7054 369.667 369.8622 369.2789 NA 369.889 369.7625 369.8332 369.5535 NA 369.6683 369.4783 NA NA NA 368.1546 369.5475 369.5581 369.4003 NA 369.5834 369.3442 NA NA NA NA NA NA NA NA NA NA
2002 1 369.5646 369.438 369.5581 369.3387 NA 369.445 369.51 369.6126 369.293 369.334 369.395 369.4983 NA NA NA 368.4026 369.355 NA 369.309 NA 369.8276 369.2294 NA NA NA NA NA NA NA NA NA NA
2002 2 369.4809 369.3886 369.6428 369.5381 NA 369.2188 369.68 369.6145 369.648 370.101 369.21 369.229 NA NA NA 368.4513 369.42 369.5082 369.3563 NA 369.816 369.0204 NA NA NA NA NA NA NA NA NA NA
2002 3 369.5215 369.4633 369.588 369.6478 369.32 369.38 369.52 369.7878 369.4765 370.192 369.4413 369.5415 NA NA NA 368.5312 369.525 369.573 369.4738 NA 369.6876 369.3731 NA NA NA NA NA NA NA NA NA NA
2002 4 369.7851 369.5567 369.8622 369.7475 369.643 369.6387 369.9775 369.9644 369.494 NA 369.735 370.0865 NA NA 371.215 368.7762 369.7425 369.7376 369.6678 NA 369.8125 369.3011 NA NA NA NA NA NA NA NA NA NA
2002 5 370.0466 369.8733 370.1414 370.0267 369.9 369.91 370.2475 370.2434 NA NA 370.2 370.271 NA NA NA 369.3062 370.0063 370.0865 369.8969 NA 370.0108 369.7326 NA NA NA NA NA NA NA NA NA NA
2002 6 370.4399 370.3329 370.4804 370.4256 370.309 370.35 370.39 370.5961 NA 370.3932 370.575 370.6383 NA NA 370.3175 369.184 370.4725 370.4605 370.3685 NA 370.6398 369.9937 NA NA NA NA NA NA NA NA NA NA
2002 7 370.942 370.7557 370.9042 370.9141 370.655 370.83 371 371.107 NA 370.9535 371.2483 371.3828 NA NA 370.9783 370.1292 371.1917 371.1285 370.8986 NA 371.0948 370.7162 NA NA NA NA NA NA NA NA NA NA
2002 8 371.4619 371.3583 371.5573 371.5024 371.149 371.34 371.6075 371.6234 NA 371.4727 371.6333 371.642 NA NA 371.5137 370.6078 371.3767 371.5722 371.3594 NA 371.4074 371.2133 NA NA NA NA NA NA NA NA NA NA
2002 9 371.9008 371.73 371.8713 371.7318 371.661 371.7183 371.8625 371.9607 NA 372.0535 372.0583 371.9511 NA NA 371.7567 371.1633 371.7863 371.8664 371.8017 NA 371.7538 371.608 NA NA NA NA NA NA NA NA NA NA
2002 10 372.0636 371.9729 371.9661 371.8514 371.997 371.907 372.1325 372.1493 NA 371.92 372.0962 372.1755 NA NA 371.6825 371.6431 371.8412 371.8763 371.8844 NA 371.7033 371.5262 NA NA NA NA NA NA NA NA NA NA
2002 11 372.0244 372.0114 371.9162 371.8414 371.925 371.94 372.0675 372.0791 372.1505 372.2387 372.003 372.0658 NA NA NaN 371.5925 371.7238 371.6669 371.8254 NA 371.7231 371.4372 NA NA NA NA NA NA NA NA NA NA
2002 12 371.9033 371.7883 372.1705 371.632 371.917 371.8675 371.9775 371.9025 371.994 371.951 371.7437 371.5523 NA NA NA 371.2712 371.5633 371.5373 371.5589 NA 372.13 371.6456 NA NA NA NA NA NA NA NA NA NA
2003 1 371.9839 372.0369 372.1406 371.9611 371.925 371.6362 372.0925 371.9804 372.0547 371.8888 371.71 371.4077 NA NA NaN 371.283 371.5433 371.642 371.6047 NA 372.2192 371.7836 NA NA NA NA NA NA NA NA NA NA
2003 2 371.8845 372.0487 372.1156 371.8115 NA 371.6 372.1225 371.8907 372.007 372.2825 371.965 371.5922 NA NA NaN 371.9271 371.8017 371.7517 371.6223 NA 372.2772 371.7931 NA NA NA NA NA NA NA NA NA NA
2003 3 371.9864 372.1487 371.9561 371.7318 371.858 371.7162 372.3325 372.0212 372.067 372.2327 371.8883 371.7417 NA NA NA 371.7991 371.8775 371.7467 371.8811 NA 372.6361 371.9179 NA NA NA NA NA NA NA NA NA NA
2003 4 372.1395 372.1433 372.0658 372.0209 371.985 372.0187 372.51 372.3149 372.109 372.4423 372.2263 372.6391 NA NA NA 372.0886 372.1333 372.2153 372.1255 NA 372.6833 372.2271 NA NA NA NA NA NA NA NA NA NA
2003 5 372.4602 372.5333 372.4148 372.3599 NA 372.4383 372.795 372.6335 372.7093 372.6904 372.789 372.7039 NA NA NA 372.0588 372.3667 372.4646 372.4152 NA 372.5973 372.5332 NA NA NA NA NA NA NA NA NA NA
2003 6 372.8071 372.9525 372.7139 372.6192 372.648 372.855 373.135 373.0316 373.164 372.9905 373.1587 372.7438 NA NA NA 372.9208 372.7237 372.7338 372.7271 NA 372.6765 372.6942 NA NA NA NA NA NA NA NA NA NA
2003 7 373.2333 373.1967 373.3271 372.9981 373.023 373.066 373.375 373.4546 373.4365 373.5935 373.525 373.3869 NA NA 373.6025 373.0616 373.1483 373.1377 373.2274 NA 373.3819 373.1997 NA NA NA NA NA NA NA NA NA NA
2003 8 373.8026 373.5708 373.6013 373.4368 373.422 373.6717 374.01 373.9718 373.832 374.1258 373.98 373.7459 NA NA 373.9937 373.4732 373.8475 373.7359 373.8688 NA 373.7726 373.5511 NA NA NA NA NA NA NA NA NA NA
2003 9 374.1147 374 374.0051 373.9254 373.985 373.9375 374.27 374.2434 374.013 374.1918 374.215 374.2345 NA NA 374.0837 373.6809 374.0517 373.9154 374.0125 NA 373.8376 373.6017 NA NA NA NA NA NA NA NA NA NA
2003 10 374.1257 374.0708 374.2145 373.8456 374.128 373.8525 374.1325 374.2129 374.2202 374.0472 374.24 374.0982 NA NA 373.8883 373.6556 373.965 373.6861 374.0194 NA 373.7559 373.3094 NA NA NA NA NA NA NA NA NA NA
2003 11 374.017 373.9483 373.9154 373.6761 373.815 373.86 374.0025 374.0859 NA 373.5808 374.1062 374.2843 NA NA 373.9663 373.3046 373.645 373.696 373.7865 NA 373.7738 373.7183 NA NA NA NA NA NA NA NA NA NA
2003 12 374.0089 373.9658 373.8755 373.6462 373.969 373.844 374.01 374.0631 374.2163 373.7872 373.9388 374.045 NA NA 373.6317 373.393 373.64 373.6561 373.6629 NA 374.306 373.4591 NA NA NA NA NA NA NA NA NA NA
2004 1 374.0475 373.9083 374.0999 373.6163 373.925 373.6813 373.7725 374.0108 373.0635 374.176 373.6733 373.7957 NA NA 373.5175 373.4343 373.5625 373.3271 373.6078 NA 374.4916 373.715 NA NA NA NA NA NA NA NA NA NA
2004 2 373.8567 373.7725 373.8606 373.5166 NA 373.4388 374.3025 373.781 373.7645 373.8552 373.6733 373.4218 NA NA 373.1375 374.014 373.6625 373.5515 373.6466 NA 374.7295 373.854 NA NA NA NA NA NA NA NA NA NA
2004 3 374.0551 373.805 374.0151 373.8855 374.2 373.85 374.2925 373.9779 374.1162 373.9625 373.809 373.9204 NA NA 373.64 373.5422 373.846 373.9087 373.7149 NA 374.2945 373.6748 NA NA NA NA NA NA NA NA NA NA
2004 4 374.1877 374.005 374.1597 373.9254 374.124 373.9483 374.4925 374.2725 374.4712 374.231 374.1325 373.8057 NA NA 373.9933 373.8209 373.8525 373.8057 373.9872 374.1385 374.3025 374.5038 NA NA NA NA NA NA NA NA NA NA
2004 5 374.3905 374.2275 374.3491 374.1148 374.193 374.2883 374.7925 374.5789 374.6536 374.2645 374.44 374.0899 NA NA 374.4367 374.2246 374.285 374.1281 374.4334 374.2886 374.4385 374.6045 NA NA NA NA NA NA NA NA NA NA
2004 6 374.7571 374.732 374.7729 374.5236 374.857 374.715 375.18 374.9523 375.113 375.016 374.8083 375.1219 NA NA 374.887 NA 374.691 374.7031 374.8222 374.7688 374.689 374.7312 NA NA NA NA NA NA NA NA NA NA
2004 7 375.0748 374.9088 375.077 374.9324 375.028 375.0637 375.41 375.3754 375.0393 375.3733 375.32 375.3014 NA NA 375.2967 375.2144 375.0583 375.2016 375.1182 375.1467 375.3687 374.7389 NA NA NA NA NA NA NA NA NA NA
2004 8 375.58 375.498 375.7168 375.421 375.536 375.5513 375.9775 375.8375 375.9047 375.6972 375.7025 376.1157 NA NA 375.6075 375.3962 375.475 375.5058 375.47 375.5662 374.6115 375.3822 NA NA NA NA NA NA NA NA NA NA
2004 9 375.7441 375.741 375.8747 375.5706 NA 375.685 376.095 376.0389 375.9847 376.081 376.335 375.7451 NA NA 375.8317 375.5404 375.4937 375.1767 375.7049 375.7 374.6529 375.2601 NA NA NA NA NA NA NA NA NA NA
2004 10 375.7188 375.8425 375.9744 375.6503 375.893 375.7162 375.995 376.0061 376.015 375.9492 376.315 375.775 NA NA 375.659 375.4377 375.56 375.1518 375.647 375.696 375.4708 375.6523 NA NA NA NA NA NA NA NA NA NA
2004 11 375.6784 375.7636 375.8797 375.5606 375.772 375.7975 376.005 375.8999 376.022 375.8965 376.0975 375.6437 NA NA 375.705 375.2867 375.7475 375.3263 375.7242 375.5767 375.3145 375.6241 NA NA NA NA NA NA NA NA NA NA
2004 12 375.6514 375.5717 375.6882 375.3213 375.563 375.523 375.755 375.716 375.5525 375.8 375.5813 375.436 NA NA 375.1775 374.8586 375.4738 375.2615 375.4974 375.4402 375.6395 375.6543 NA NA NA NA 375.54 NA NA NA NA NA
2005 1 375.6136 375.5986 375.9245 375.3911 375.663 375.3188 375.52 375.6571 375.8125 375.3234 375.191 375.1817 NA NA 375.4162 NA 375.38 375.3213 375.2777 375.2671 375.7588 375.5639 NA NA NA NA NA NA NA NA NA NA
2005 2 375.2336 375.2633 375.2382 375.2814 375.159 375.2433 375.835 375.383 375.7085 375.2055 375.2575 375.2465 NA NA 375.2733 NA 375.24 375.1917 375.373 375.371 375.5109 375.2428 NA NA NA NA NA NA NA NA NA NA
2005 3 375.435 375.3325 375.5107 375.6404 375.276 375.3433 375.9375 375.5078 375.5996 375.5035 375.365 375.3462 NA NA 375.358 375.1853 375.4267 375.4659 375.4333 375.4559 375.7615 375.3624 NA NA NA NA NA NA NA NA NA NA
2005 4 375.62 375.6343 375.7201 375.78 375.614 375.7125 376.19 375.8474 375.8098 375.8398 375.8613 375.5905 NA NA 375.7338 NA 375.5525 375.5656 375.542 375.7517 375.8049 375.7205 NA NA NA NA NA NA NA NA NA NA
2005 5 376.0597 375.9981 376.0841 376.1888 375.878 376.1988 376.57 376.3085 376.4913 376.183 376.3425 376.5926 NA NA 376.195 NA 376.2783 376.2237 376.169 376.2847 376.2761 376.1529 NA NA NA NA NA NA NA NA NA NA
2005 6 376.5817 376.5965 376.6807 376.4879 376.6445 376.696 376.78 376.8562 376.9477 376.881 377.068 376.8518 NA NA 376.7712 NA 377.015 377.2357 377.0246 376.6815 376.8108 376.5853 NA NA NA NA NA NA NA NA NA NA
2005 7 377.0944 377.139 377.146 NA NA 377.26 377.5775 377.356 377.5067 377.4097 377.585 377.3786 NA 377.6365 377.205 NA 377.095 377.2208 377.2395 377.2817 377.3552 377.1238 NA NA NA NA NA NA NA NA NA NA
2005 8 377.6126 377.517 377.5299 NA 377.336 377.73 377.7675 377.8144 377.9697 377.7493 377.927 377.834 NA 377.7493 377.6892 377.1587 377.5925 377.7193 377.5187 377.605 377.6192 377.2956 NA NA NA NA NA NA NA NA NA NA
2005 9 377.8762 377.805 377.7991 377.7742 377.703 377.9512 378.005 378.0384 378.0786 377.7905 378.195 378.0284 NA 377.9831 377.8367 NA 377.6667 377.5448 377.833 377.8138 377.7495 377.4346 NA NA NA NA NA NA NA NA NA NA
2005 10 377.9642 377.9925 378.1182 378.0334 377.9 378.0175 378.21 378.108 378.174 377.942 378.1067 377.9038 NA NaN 377.838 NA 377.7467 377.6794 377.901 377.8952 377.6528 377.3342 NA NA NA NA NA NA NA NA NA NA
2005 11 377.9099 377.8881 377.9487 377.6944 NA 377.975 378.0075 378.0275 378.1563 377.894 378.061 377.7343 NA 377.981 378.028 NA 377.7275 377.7642 377.997 377.9142 377.842 377.5554 NA NA NA NA NA NA NA NA NA NA
2005 12 377.9146 377.9087 378.0833 377.8539 378.066 377.8425 378.0025 377.9929 378.0558 378.0685 377.6938 377.5398 NA 377.9236 377.8375 NA 377.7925 377.5249 377.7688 377.8063 379.2325 377.5746 378.175 377.7143 378.0781 377.5 377.55 NA NA NA NA NA
2006 1 377.9225 377.9542 377.834 377.8539 378.016 377.3767 377.9225 377.9612 378.092 377.6427 377.3037 377.5747 NA 377.5984 377.45 377.3125 378.0025 377.7742 377.7676 377.767 378.1841 377.9962 377.1812 377.5 377.775 377.3 377.72 NA NA NA NA NA
2006 2 377.6543 377.6567 377.6744 377.6047 377.763 377.3975 377.89 377.7842 378.0012 377.739 377.25 377.5548 NA 377.4988 377.9367 NA 377.7587 377.824 377.9554 377.7595 377.8818 378.3786 377.1931 377.3033 377.4333 377.3091 377.5333 NA NA NA NA NA
2006 3 377.7947 377.8243 377.7243 377.6346 377.651 377.7 377.985 377.8832 378.1382 377.7075 377.7662 377.711 377.9175 377.8017 377.865 377.9595 377.7117 377.9138 377.969 377.9217 378.1465 377.7102 377.66 377.8264 377.7182 377.9185 377.8891 NA NA NA NA NA
2006 4 377.9098 377.9993 378.0434 NA 377.949 377.855 378.2533 378.0661 378.1388 377.9155 378.0363 378.0467 377.6904 378.1583 378.0213 377.736 377.9517 377.7841 378.02 377.9458 378 377.6398 378.1 377.8786 377.7889 377.8714 377.9778 NA NA NA NA NA
2006 5 378.1652 378.27 378.1381 378.0434 378.073 378.185 378.475 378.3215 378.5625 378.1513 378.26 378.3226 378.375 378.3386 378.258 378.1068 378.2283 378.1182 378.067 378.1277 378.0932 377.9759 378.8258 378.7949 378.4033 378.3933 378.33 NA NA NA NA NA
2006 6 378.4117 378.4258 378.4472 378.3724 378.313 378.4975 378.7567 378.6112 NA 378.6212 378.659 378.6117 378.445 378.5946 378.695 378.4926 378.34 378.3176 378.494 378.3403 378.4505 378.1457 378.8257 378.71 378.6889 378.6595 378.5385 NA NA NA NA NA
2006 7 378.7485 378.8071 378.6018 378.8909 378.463 378.7963 378.98 378.9611 379.306 379.6005 378.9287 378.9308 NA 379.0544 378.8637 378.6517 378.7583 378.8211 378.6328 378.8112 378.7594 378.3472 NA NA NA NA 378.8 NA NA NA NA NA
2006 8 379.2368 379.2933 379.2449 379.2698 NA 379.1837 379.54 379.3862 379.4688 379.2352 379.3087 379.3546 379.5375 379.3979 379.325 379.3081 379.1938 379.0355 379.1682 379.1626 379.2454 378.8339 379.6375 379.5952 379.4875 379.375 379.225 NA NA NA NA NA
2006 9 379.4826 379.495 379.4343 379.2698 NA 379.445 379.53 379.6336 379.8602 379.3675 379.67 379.2 379.5725 379.6188 379.5588 379.3686 379.425 379.2349 379.4645 379.4189 379.3706 379.1621 379.9625 380.1556 380.07 379.9 379.9625 NA NA NA NA NA
2006 10 379.5891 379.6371 379.6437 379.3296 379.626 379.5375 379.6667 379.7282 379.8125 379.6025 379.675 379.4094 379.6817 379.7108 379.3717 379.3962 379.4275 379.4094 379.4285 379.4961 379.4978 379.1977 380.0546 380.1951 380.0409 379.9229 379.7727 NA NA NA NA NA
