record lat lon alt
SPO_NOAA_flask -89.98 -24.8 2810
HBA_NOAA_flask -75.605 -26.21 10
SYO_NOAA_flask -69.0125 39.59 14
PSA_NOAA_flask -64.9 -64 10
DRP_NOAA_flask -59 -64.69 10
CRZ_NOAA_flask -46.4337 51.8478 197
CGO_NOAA_flask -40.683 144.69 164
CPT_NOAA_flask -34.3523 18.4891 230
USH_NOAA_flask -54.8484 -68.3106 12
BHD_NOAA_flask -41.4083 174.871 85
EIC_NOAA_flask -27.16 -109.43 47
NMB_NOAA_flask -23.58 15.03 456
SMO_NOAA_flask -14.2474 -170.5644 42
ASC_NOAA_flask -7.9667 -14.4 85
SEY_NOAA_flask -4.6824 55.5325 2
